start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer2,0.21415502,-9.315686,19.409176,0.016591152,-0.00237786,0.016412579,19.58072,2.9620063,10.067726,5.8660283,0.0,0.0,0.0,0.0,0.0,0.0,205.76933,1611.4093,-201.0,1283.3091,975.8638,-201.0,2277.7214,1033.5619,-201.0,0 days 00:00:13.246579913,0 days 00:00:13.266579913
0 days 00:00:00.010000,0 days 00:00:00.030000,answer2,0.21378203,-8.346055,17.934069,0.02764331,-0.004848951,0.033707518,17.960283,1.647347,6.60667,1.3596033,0.0,0.0,0.0,0.0,0.0,0.0,242.80608,1504.9215,-201.0,1294.232,954.351,-201.0,2323.1846,924.81476,-201.0,0 days 00:00:13.256579913,0 days 00:00:13.276579913
0 days 00:00:00.020000,0 days 00:00:00.040000,answer2,0.22079657,-7.7534184,15.606606,0.03073735,-0.009660141,0.04866603,18.149868,-0.33710513,3.0975149,-4.1558847,0.0,0.0,0.0,0.0,0.0,0.0,306.20398,1365.419,-201.0,1300.1134,951.3804,-141.08928,2345.4297,778.6341,-143.35338,0 days 00:00:13.266579913,0 days 00:00:13.286579913
0 days 00:00:00.030000,0 days 00:00:00.050000,answer2,0.22705473,-6.8069167,14.872663,0.038707647,-0.004910566,0.05571099,18.558477,-1.0224972,0.7868266,-4.1072984,33.50895,0.0,0.0,2.923904,6.014576,21.543915,256.17227,1541.6,0.0,1217.8237,1008.9982,-83.2682,2311.201,723.87036,-87.9999,0 days 00:00:13.276579913,0 days 00:00:13.296579913
0 days 00:00:00.040000,0 days 00:00:00.060000,answer2,0.24797948,-6.6590066,16.79927,0.030566895,-0.00056823,0.06492408,22.354944,-0.80780524,0.13369705,-2.490649,33.14049,0.0,0.0,3.7775993,6.192966,21.674644,310.05212,1551.5382,0.0,1194.5365,1056.3898,-27.128532,2356.438,760.19727,-29.703836,0 days 00:00:13.286579913,0 days 00:00:13.306579913
0 days 00:00:00.050000,0 days 00:00:00.070000,answer2,0.28545368,-10.766667,21.486902,0.03739056,0.001012939,0.17023842,24.832682,4.504316,6.737556,0.4824029,32.62485,0.0,0.0,5.6211247,6.881821,23.803764,607.7872,1643.0156,-16.817183,1517.8193,1245.1971,-27.907316,2604.8894,760.7122,-28.786581,0 days 00:00:13.296579913,0 days 00:00:13.316579913
0 days 00:00:00.060000,0 days 00:00:00.080000,answer2,0.3571299,-15.327915,25.921713,0.04306281,-0.009705765,0.26942435,27.876612,8.900204,17.548681,-2.7728555,32.33376,0.0,3.2168396,7.74077,6.6980896,24.086935,676.67816,1516.2196,-10.742904,1886.0244,1304.1221,-26.788551,2696.1682,1275.2163,-25.200218,0 days 00:00:13.306579913,0 days 00:00:13.326579913
0 days 00:00:00.070000,0 days 00:00:00.090000,answer2,0.4690659,-19.248869,25.062012,0.051339228,-0.021546284,0.3592219,29.726875,12.096633,28.113153,-4.036364,32.30594,0.0,2.5617366,9.374044,6.6901536,27.184006,760.96747,1495.8798,-10.663975,2132.4414,1138.0945,-22.299006,2830.6697,1291.2677,-26.04305,0 days 00:00:13.316579913,0 days 00:00:13.336579913
0 days 00:00:00.080000,0 days 00:00:00.100000,answer2,0.6202829,-18.5599,22.968298,0.07076505,-0.02926802,0.38811317,31.565512,9.61095,29.318323,-2.5350199,32.311935,0.06284359,2.0003285,10.318255,6.2173066,29.883581,488.20444,1312.3517,0.21467368,1877.7842,899.88696,-21.558931,2588.8533,1326.1968,-27.493597,0 days 00:00:13.326579913,0 days 00:00:13.346579913
0 days 00:00:00.090000,0 days 00:00:00.110000,answer2,0.7870849,-16.828955,22.372856,0.082798995,-0.029098036,0.3697033,33.055233,4.8873496,21.063211,4.2321815,32.311176,0.045815676,1.3970674,10.670536,5.013153,33.832912,565.2541,1457.4913,-0.12738943,1685.0985,827.9456,-21.949255,2646.929,854.3201,-30.70475,0 days 00:00:13.336579913,0 days 00:00:13.356579913
0 days 00:00:00.100000,0 days 00:00:00.120000,answer2,0.8631315,-18.194378,27.020304,0.10719532,-0.031469826,0.33545116,35.475784,5.511678,12.235883,6.142917,32.247242,0.023328817,1.2458086,10.228298,3.1100168,35.499275,572.8975,1515.3922,-2.7467568,1596.932,1019.0498,-23.188482,2560.8728,830.7962,-31.886185,0 days 00:00:13.346579913,0 days 00:00:13.366579913
0 days 00:00:00.110000,0 days 00:00:00.130000,answer2,0.8971227,-18.8108,31.8383,0.102197014,-0.030488344,0.2990016,38.746807,7.926235,1.8714987,1.2686723,32.10153,0.0066618063,0.885498,9.0542345,1.0250863,35.377563,571.833,1606.3307,-2.2453413,1509.3535,1103.5739,-20.425074,2539.143,876.40625,-31.263056,0 days 00:00:13.356579913,0 days 00:00:13.376579913
0 days 00:00:00.120000,0 days 00:00:00.140000,answer2,0.9148242,-19.299675,35.110813,0.094766796,-0.031034121,0.30918434,42.2738,7.846182,-1.8495426,-4.7739105,31.890211,0.0041839513,0.5034736,7.687809,-0.82536775,33.200474,480.14664,1487.1836,-0.80148077,1404.0879,1135.6796,-17.05583,2487.7244,929.56036,-28.72235,0 days 00:00:13.366579913,0 days 00:00:13.386579913
0 days 00:00:00.130000,0 days 00:00:00.150000,answer2,1.0420916,-17.285383,34.44597,0.092669465,-0.02870222,0.48198113,44.58694,2.7374523,-7.014074,-6.2093067,31.658981,0.0069920146,0.40047762,6.331356,-2.1563697,30.942526,577.7981,1847.0991,0.11719672,1280.5519,1311.3344,-16.072542,2434.8044,978.48755,-26.38521,0 days 00:00:13.376579913,0 days 00:00:13.396579913
0 days 00:00:00.140000,0 days 00:00:00.160000,answer2,1.1184033,-16.711258,33.195984,0.104014896,-0.026365152,0.62202764,46.167957,-1.764403,-8.367259,-3.6573904,31.458761,0.0046036267,0.8579933,4.3157983,-2.9725583,30.46746,572.29944,1885.0039,-0.40629038,1288.8439,1325.9346,-16.268793,2454.7964,923.4722,-26.433632,0 days 00:00:13.386579913,0 days 00:00:13.406579913
