start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer1,0.20786136,-14.499309,22.419182,0.044539776,-0.031196535,0.020766217,17.128021,16.141882,3.3808072,-8.91316,36.60908,0.0,2.4384856,-14.194619,5.9293404,18.8158,666.3049,1281.705,3.0735154,1833.6937,802.7984,-3.7246883,2920.3525,653.56976,-17.726265,0 days 00:00:09.542876210,0 days 00:00:09.562876210
0 days 00:00:00.010000,0 days 00:00:00.030000,answer1,0.23435716,-11.739189,21.830057,0.054854926,-0.02126298,0.04540981,18.353632,9.753078,-2.2402184,-7.7955956,38.38245,0.0,2.4384856,-8.631305,2.436031,18.597902,702.14264,1375.6603,0.0,1894.5869,788.98193,-9.698947,2982.8418,773.9621,-20.774439,0 days 00:00:09.552876210,0 days 00:00:09.572876210
0 days 00:00:00.020000,0 days 00:00:00.040000,answer1,0.5185349,-5.2995496,21.841759,0.073692046,-0.004026845,0.35316148,19.503014,-2.0508177,-15.09312,-5.7798896,40.33228,0.0,2.4384856,-0.3122797,0.05337127,18.70471,772.6691,1415.4664,-0.96902907,1811.1265,959.5778,-11.067585,2975.2832,800.89044,-23.09577,0 days 00:00:09.562876210,0 days 00:00:09.582876210
0 days 00:00:00.030000,0 days 00:00:00.050000,answer1,0.74989605,1.3661337,17.72825,0.074972995,0.0064389966,0.49682102,18.46345,-10.972295,-28.567383,-7.438749,40.910732,0.0,2.1621878,3.6573117,-4.3309445,19.307886,947.3084,1472.5258,-0.31070748,1879.6617,957.772,-18.397478,3179.427,607.273,-23.949537,0 days 00:00:09.572876210,0 days 00:00:09.592876210
0 days 00:00:00.040000,0 days 00:00:00.060000,answer1,0.89574546,0.3176848,19.011831,0.077261165,0.0067773126,0.716624,20.348345,-9.229606,-28.91411,-10.617303,41.037533,0.18696116,1.3788148,8.66344,-3.6951828,18.525328,1018.37744,1324.0929,-4.785623,2071.4778,949.11865,-15.107062,3050.54,1591.472,-21.354773,0 days 00:00:09.582876210,0 days 00:00:09.602876210
0 days 00:00:00.050000,0 days 00:00:00.070000,answer1,1.1832376,-5.6469855,21.392202,0.08561642,-0.003937523,1.3680598,24.533674,-7.333323,-23.616438,-22.506659,41.039185,0.15733418,2.145687,10.888526,-4.2147927,17.812922,943.2012,1282.5449,-3.3336008,2015.9525,879.6824,-15.370976,2977.8125,1562.3652,-19.709953,0 days 00:00:09.592876210,0 days 00:00:09.612876210
0 days 00:00:00.060000,0 days 00:00:00.080000,answer1,1.6476556,-11.18578,22.690239,0.09525448,-0.011567593,1.7429777,28.339546,-9.844121,-16.491385,-36.43719,41.19808,0.10202342,2.4206085,11.38755,-4.151294,22.052946,802.2569,1178.8088,-5.503369,1927.4761,867.0533,-16.307276,2860.8792,1573.1422,-23.642557,0 days 00:00:09.602876210,0 days 00:00:09.622876210
0 days 00:00:00.070000,0 days 00:00:00.090000,answer1,2.213584,-12.090068,22.015427,0.09107002,-0.013482085,1.7789721,28.859526,-17.54481,-17.45205,-46.593765,41.491962,0.044542223,2.4727895,10.974111,-4.5789204,24.035765,650.1307,1327.0482,0.0,1499.7823,1039.1261,-14.870908,2806.8936,416.68213,-26.162445,0 days 00:00:09.612876210,0 days 00:00:09.632876210
0 days 00:00:00.080000,0 days 00:00:00.100000,answer1,2.3512626,-11.938794,22.202421,0.075780936,-0.012465641,1.263826,27.076897,-19.78082,-17.82857,-47.022305,41.817707,0.013663382,1.0532635,10.735913,-5.2432866,25.899305,628.60443,1419.6984,-3.2896197,1498.903,1109.1871,-14.8789015,2814.3586,427.98843,-28.814774,0 days 00:00:09.622876210,0 days 00:00:09.642876210
0 days 00:00:00.090000,0 days 00:00:00.110000,answer1,2.2999957,-12.618255,24.561142,0.07675388,-0.014396121,1.226984,26.295477,-19.80361,-18.949116,-41.916477,42.158646,0.006454225,0.44050154,10.495717,-5.783652,22.928808,760.9631,1469.369,-2.2242284,1644.3483,1174.8784,-16.902245,2868.459,505.13257,-26.995024,0 days 00:00:09.632876210,0 days 00:00:09.652876210
