start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer1,0.43749118,-12.833084,27.115503,0.0727696,0.0014234516,0.12077647,28.07067,7.9971657,2.9963646,2.6065187,22.83371,0.0,1.846285,-5.5012383,5.5449615,20.029095,459.31863,1370.4371,0.0,1553.0938,819.145,-1.0510095,2661.7598,855.2454,-11.334644,0 days 00:00:01.267934601,0 days 00:00:01.287934601
0 days 00:00:00.010000,0 days 00:00:00.030000,answer1,0.52509683,-7.3510213,21.731422,0.06224976,0.0051899105,0.23974378,29.147219,-1.2151232,-3.552659,4.8894506,22.599745,0.0,1.846285,-4.7433305,4.8569403,19.557074,610.3786,1343.1993,6.8213067,1684.0458,933.8195,2.0811505,2805.1453,869.69116,-6.644895,0 days 00:00:01.277934601,0 days 00:00:01.297934601
0 days 00:00:00.020000,0 days 00:00:00.040000,answer1,0.5728545,-2.6776493,16.929579,0.06038699,0.0078034126,0.34312344,28.25115,-9.259118,-6.898088,10.472287,22.266378,0.0,1.846285,-3.6706517,3.9213622,19.216208,861.87885,1215.629,6.8755364,1861.2711,1032.13,5.427423,2943.7683,887.3299,-1.8929186,0 days 00:00:01.287934601,0 days 00:00:01.307934601
0 days 00:00:00.030000,0 days 00:00:00.050000,answer1,0.63958424,-1.6383032,17.321257,0.041877046,0.0074017365,0.29729685,29.157953,-12.966119,-7.1708374,12.1039,22.177408,0.0,1.846285,-2.6634023,2.691909,18.721373,792.2075,1279.2281,5.000735,1634.6783,1115.266,10.227821,2764.4426,586.6807,-0.97378594,0 days 00:00:01.297934601,0 days 00:00:01.317934601
0 days 00:00:00.040000,0 days 00:00:00.060000,answer1,0.5916695,-3.0767717,17.42142,0.044626683,0.0051186425,0.2570338,26.798637,-11.8728485,-1.1884512,12.860149,22.120596,0.0,2.5681255,-2.0919163,1.2863041,17.231028,946.9201,1194.2191,6.8707137,1716.347,1269.277,11.265256,2768.9219,609.455,-0.011750837,0 days 00:00:01.307934601,0 days 00:00:01.327934601
0 days 00:00:00.050000,0 days 00:00:00.070000,answer1,0.6400576,-2.7371995,17.37271,0.05288284,0.0015929999,0.24923666,28.182596,-13.136619,-2.9448922,11.464688,22.102104,0.16374944,3.2899656,-1.9569889,-0.55107373,15.979392,923.81934,1197.6615,7.0785317,1722.9316,1181.1097,10.880609,2800.9602,566.15375,-0.21115811,0 days 00:00:01.317934601,0 days 00:00:01.337934601
0 days 00:00:00.060000,0 days 00:00:00.080000,answer1,0.60479397,-2.7919528,15.3235655,0.05522753,0.0036820595,0.26459762,24.95951,-12.754417,-0.46182957,16.971777,22.03434,0.0,4.011806,-1.8632288,-1.5952148,15.626789,966.20233,1193.6788,-61.57465,1729.7977,1223.1246,-60.36876,2777.9631,584.61163,-67.57926,0 days 00:00:01.327934601,0 days 00:00:01.347934601
0 days 00:00:00.070000,0 days 00:00:00.090000,answer1,0.6240275,-3.255825,15.798022,0.056035478,-0.0018454808,0.25796425,24.71611,-11.929799,-4.395926,16.257235,0.0,0.0,0.0,0.0,0.0,0.0,877.79004,1239.3048,-131.46419,1695.1171,998.2337,-131.28838,2780.361,539.8261,-134.83923,0 days 00:00:01.337934601,0 days 00:00:01.357934601
0 days 00:00:00.080000,0 days 00:00:00.100000,answer1,0.58085173,-4.1038995,13.822472,0.033175882,-0.005926879,0.22784524,22.506418,-10.050706,-1.9371886,15.607979,0.0,0.0,0.0,0.0,0.0,0.0,854.16473,1321.0404,-137.23677,1684.2706,1021.2129,-138.69514,2768.4395,581.0714,-144.5917,0 days 00:00:01.347934601,0 days 00:00:01.367934601
0 days 00:00:00.090000,0 days 00:00:00.110000,answer1,0.61460674,-5.531006,17.073448,0.029477006,-0.015970966,0.22477926,24.046515,-8.368932,-5.0755954,12.122508,35.46354,0.0,0.0,1.5913264,-0.32724524,24.105831,804.377,1387.7877,-73.35234,1683.0503,962.8151,-76.22415,2791.404,606.94366,-90.03964,0 days 00:00:01.357934601,0 days 00:00:01.377934601
0 days 00:00:00.100000,0 days 00:00:00.120000,answer1,0.6865833,-8.810634,22.119318,0.036866274,-0.02363123,0.45280778,27.715998,-4.0132346,-4.068788,11.527308,35.46101,0.0,0.0,3.128794,-1.4680439,23.918417,806.1294,1280.7877,-9.124046,1693.4336,870.98016,-13.686302,2799.033,581.0278,-34.32071,0 days 00:00:01.367934601,0 days 00:00:01.387934601
0 days 00:00:00.110000,0 days 00:00:00.130000,answer1,0.817862,-9.856825,28.03157,0.05256219,-0.029050598,0.6168093,30.633879,-2.0165298,-8.580245,8.645838,35.482697,0.0,0.0,5.6756644,-3.023099,22.302834,830.84375,1182.1562,-8.587265,1718.4327,830.20575,-13.282429,2824.7546,639.6545,-32.7435,0 days 00:00:01.377934601,0 days 00:00:01.397934601
0 days 00:00:00.120000,0 days 00:00:00.140000,answer1,0.9670369,-9.624234,29.164373,0.06675191,-0.030235378,0.6559482,31.519835,-0.8568273,-9.937016,5.956207,35.590115,0.0,0.0,7.731115,-2.8587627,18.573744,829.8179,1175.1588,-8.4497595,1742.5834,821.63983,-12.566054,2909.0125,758.688,-29.065855,0 days 00:00:01.387934601,0 days 00:00:01.407934601
0 days 00:00:00.130000,0 days 00:00:00.150000,answer1,1.0950212,-6.5757804,27.167625,0.084947266,-0.027137509,0.48255488,27.91513,-4.2513556,-13.464969,1.994407,35.752895,0.045487747,1.6154995,8.701692,-2.7642639,19.021402,821.0501,1218.641,-7.4646897,1761.1451,826.12006,-12.215065,2971.5583,861.5046,-29.022326,0 days 00:00:01.397934601,0 days 00:00:01.417934601
0 days 00:00:00.140000,0 days 00:00:00.160000,answer1,1.2106518,-6.218033,24.937384,0.094260894,-0.020500809,0.39364448,24.885675,-6.0147376,-11.971321,1.3382269,35.940624,0.033945393,1.4378643,9.028745,-3.5193856,20.11368,811.69916,1186.7954,-5.259754,1773.5059,787.0886,-12.149097,2952.9314,821.54486,-28.89282,0 days 00:00:01.407934601,0 days 00:00:01.427934601
