start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.100000,answer3,1.6420039,-7.300152,20.62459,0.023622701,-0.0040188595,0.11616456,22.701048,-9.769138,-0.5643958,-1.2545205,0.0,0.0,0.0,0.0,0.0,0.0,472.78525,1797.8461,-201.0,1363.5214,1490.7875,-201.0,2248.5442,1171.1444,-201.0,0 days 00:00:08.308308308,0 days 00:00:08.408308308
0 days 00:00:00.010000,0 days 00:00:00.110000,answer3,1.7102388,-9.191059,22.294518,0.028070964,-0.005457401,0.22429903,24.257338,-8.707265,0.9620859,-1.5830984,0.0,0.0,0.0,0.0,0.0,0.0,703.3758,1463.243,-201.0,1608.9868,1286.9052,-201.0,2542.2148,996.6745,-201.0,0 days 00:00:08.318308308,0 days 00:00:08.418308308
0 days 00:00:00.020000,0 days 00:00:00.120000,answer3,1.7928281,-11.525804,24.186447,0.034890115,-0.0068455436,0.29873395,26.156433,-7.1707325,2.7194118,-2.3135917,0.0,0.0,0.0,0.0,0.0,0.0,941.9711,1109.9865,-132.96684,1875.6642,1110.1515,-134.44997,2788.4338,855.8457,-137.13004,0 days 00:00:08.328308308,0 days 00:00:08.428308308
0 days 00:00:00.030000,0 days 00:00:00.130000,answer3,1.8282775,-12.945644,25.028112,0.042704124,-0.007949355,0.23965204,27.253845,-5.647552,3.5416772,-3.2282274,26.786442,0.0,0.0,-0.6253014,14.92865,25.317669,991.6263,1027.3267,-64.962425,1989.23,1236.2681,-68.86376,2731.6624,981.3931,-72.35475,0 days 00:00:08.338308308,0 days 00:00:08.438308308
0 days 00:00:00.040000,0 days 00:00:00.140000,answer3,1.7968712,-13.618396,25.785599,0.046493974,-0.00801354,0.21625344,27.663492,-3.9923613,3.6044562,-3.5623715,26.73422,0.0,0.0,0.018339753,14.527242,26.029678,783.3105,1210.1045,5.9515576,1773.5094,1287.1001,0.36922154,2506.1865,1045.4105,-6.0171866,0 days 00:00:08.348308308,0 days 00:00:08.448308308
0 days 00:00:00.050000,0 days 00:00:00.150000,answer3,1.7026621,-13.725015,26.290804,0.044401716,-0.008268761,0.24232681,27.551514,-2.2269537,3.3441522,-2.9249494,26.619232,0.0,0.0,1.2205352,13.436256,26.553247,553.79047,1439.8851,13.223206,1529.8164,1322.2804,2.696092,2319.5178,1108.205,-2.8119466,0 days 00:00:08.358308308,0 days 00:00:08.458308308
0 days 00:00:00.060000,0 days 00:00:00.160000,answer3,1.5712042,-13.49837,26.47252,0.03907768,-0.008311187,0.27783152,27.104803,-0.52560073,3.0809624,-1.3785572,26.437994,0.0,0.0,0.9960882,11.624118,25.589556,411.49832,1917.8478,16.242826,1284.4508,1325.769,4.318443,2240.1506,1129.3116,-1.6734805,0 days 00:00:08.368308308,0 days 00:00:08.468308308
0 days 00:00:00.070000,0 days 00:00:00.170000,answer3,1.435831,-13.268806,26.492796,0.03291176,-0.007891271,0.26398635,26.587137,0.95973057,2.8518322,0.6942,26.285288,0.0,4.10185,-0.22239383,10.046699,25.18605,620.2161,1880.6969,11.254886,1435.1371,1364.1339,0.10692755,2401.3398,1002.95264,-3.9613485,0 days 00:00:08.378308308,0 days 00:00:08.478308308
0 days 00:00:00.080000,0 days 00:00:00.180000,answer3,1.3215259,-13.29,26.275063,0.03190485,-0.006955045,0.22522217,26.153412,2.0591946,2.4445832,2.7057495,26.294104,0.04936772,3.4332886,-1.4878067,8.699787,24.080002,578.44037,1963.7012,4.4251213,1412.8622,1405.2295,-3.6820304,2350.7659,1001.3377,-6.670118,0 days 00:00:08.388308308,0 days 00:00:08.488308308
0 days 00:00:00.090000,0 days 00:00:00.190000,answer3,1.2357589,-13.550522,26.268112,0.03228866,-0.006263971,0.17947309,25.83976,2.756364,1.8321446,4.1383,26.067709,0.046543498,2.5962985,-2.4105384,7.4764495,24.60903,724.44354,1512.2145,0.0,1598.4071,1398.3353,-6.156372,2471.8467,946.8952,-9.821265,0 days 00:00:08.398308308,0 days 00:00:08.498308308
0 days 00:00:00.100000,0 days 00:00:00.200000,answer3,1.1730856,-13.749883,26.432434,0.031596605,-0.006953386,0.15121968,25.486727,3.1892796,1.3606453,4.7486997,25.769766,0.04446305,1.5837482,-1.1809157,7.620539,25.44021,706.37036,1510.4176,-5.8466415,1611.652,1473.0114,-6.0161805,2374.1504,1185.5516,-9.737073,0 days 00:00:08.408308308,0 days 00:00:08.508308308
0 days 00:00:00.110000,0 days 00:00:00.210000,answer3,1.1230186,-13.514718,27.006119,0.027042327,-0.008011638,0.1374885,25.020172,3.486783,1.2744203,4.9506316,25.319723,0.058315884,1.1004273,0.47659516,9.4858055,29.687765,958.7012,1285.7207,-2.3071725,1835.5431,1391.3522,-4.01736,2608.5862,1031.9467,-9.771929,0 days 00:00:08.418308308,0 days 00:00:08.518308308
0 days 00:00:00.120000,0 days 00:00:00.220000,answer3,1.0790263,-12.601364,27.520782,0.019956203,-0.007962719,0.1382026,24.354624,3.5066214,1.3608054,5.210586,25.065016,0.074881405,2.2703784,2.0081742,11.749798,30.0165,922.01776,1309.7773,1.6260225,1776.7393,1277.1586,-3.3833048,2591.3662,943.0583,-6.8438973,0 days 00:00:08.428308308,0 days 00:00:08.528308308
0 days 00:00:00.130000,0 days 00:00:00.230000,answer3,1.041024,-11.081372,26.63285,0.016669432,-0.0065715536,0.13477261,23.528906,2.9487724,1.1267929,5.5779076,24.81366,0.068958186,3.7928894,1.6927977,12.089231,29.462423,972.2662,1340.2251,0.8259053,1814.8872,1246.9331,-4.8397517,2724.575,738.21136,-7.8174477,0 days 00:00:08.438308308,0 days 00:00:08.538308308
0 days 00:00:00.140000,0 days 00:00:00.240000,answer3,1.0164357,-9.307979,24.811974,0.017007036,-0.0046140384,0.12307513,22.718184,1.6954818,0.37112907,5.498138,24.43164,0.052422985,3.9033382,0.2595341,11.020228,26.84588,773.8753,1453.5977,-0.828876,1610.335,1278.7266,-9.372786,2509.3748,858.61285,-10.769779,0 days 00:00:08.448308308,0 days 00:00:08.548308308
0 days 00:00:00.150000,0 days 00:00:00.250000,answer3,1.0133739,-7.6432853,21.81315,0.021706203,-0.0037189631,0.10639554,22.173882,-0.102610864,-0.9051385,4.6094317,24.504099,0.034813274,2.426774,-1.4432988,9.968592,25.264208,805.9191,1561.4906,-6.102755,1604.1459,1423.2389,-10.738326,2525.1082,918.3107,-14.801385,0 days 00:00:08.458308308,0 days 00:00:08.558308308
0 days 00:00:00.160000,0 days 00:00:00.260000,answer3,1.0332767,-6.2355523,18.67843,0.026772821,-0.0033011625,0.09393874,22.014791,-2.0522938,-2.6078906,3.2432392,24.494268,0.027591601,1.033293,-2.3614054,9.73152,24.35907,567.80066,1600.5538,-71.50251,1396.7645,1386.998,-74.443535,2306.2761,1047.6542,-77.96172,0 days 00:00:08.468308308,0 days 00:00:08.568308308
0 days 00:00:00.170000,0 days 00:00:00.270000,answer3,1.0682898,-5.089005,16.513758,0.028962038,-0.003459579,0.085497655,22.129744,-3.6772575,-4.552731,2.0536494,0.0,0.0,0.0,0.0,0.0,0.0,811.3869,1480.2651,-138.43831,1605.8248,1583.1011,-136.99727,2473.2207,1047.0752,-139.34096,0 days 00:00:08.478308308,0 days 00:00:08.578308308
0 days 00:00:00.180000,0 days 00:00:00.280000,answer3,1.1023083,-4.2683754,15.745524,0.029811895,-0.0034015372,0.07942621,22.290468,-4.661485,-6.38059,1.2819912,0.0,0.0,0.0,0.0,0.0,0.0,859.6296,1406.5565,-201.0,1725.3812,1523.54,-201.0,2515.3381,1004.501,-201.0,0 days 00:00:08.488308308,0 days 00:00:08.588308308
0 days 00:00:00.190000,0 days 00:00:00.290000,answer3,1.1185088,-3.9153836,16.339048,0.029582633,-0.0029327597,0.0740354,22.343298,-4.986471,-7.679937,0.6606533,0.0,0.0,0.0,0.0,0.0,0.0,1014.79315,1363.3154,-201.0,1829.9769,1505.0654,-201.0,2591.7478,921.3125,-201.0,0 days 00:00:08.498308308,0 days 00:00:08.598308308
