start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.100000,answer1,3.8099701,-11.3820915,20.851274,0.07607491,-0.008173088,0.4393619,36.95705,-5.7414565,0.13246171,-14.210099,33.239166,0.0,1.0023061,6.067123,9.1376915,22.132973,1159.6383,1093.7529,-15.0269785,2573.0017,614.13666,-19.099243,3055.1877,2134.749,-19.099243,0 days 00:00:04.771438105,0 days 00:00:04.871438105
0 days 00:00:00.010000,0 days 00:00:00.110000,answer1,3.9187095,-10.596942,22.911142,0.074429534,-0.009220183,0.86154586,37.593563,-4.635663,-4.1414256,-15.257652,32.913773,0.018063188,1.9105191,6.4246,10.883658,22.243921,820.6453,1350.4564,-14.934008,2115.3071,766.9744,-16.765722,2869.6023,1545.7173,-19.234076,0 days 00:00:04.781438105,0 days 00:00:04.881438105
0 days 00:00:00.020000,0 days 00:00:00.120000,answer1,4.0962315,-9.551297,26.113745,0.07003969,-0.009719279,1.2303944,38.297665,-3.1119611,-10.155418,-16.980923,32.486286,0.014669591,1.842207,6.746961,11.024478,24.798197,562.53296,1570.1938,0.0,1706.372,1074.6598,-14.3433,2447.8162,1418.3019,-22.136206,0 days 00:00:04.791438105,0 days 00:00:04.891438105
0 days 00:00:00.030000,0 days 00:00:00.130000,answer1,4.262543,-8.835716,29.948914,0.06696299,-0.008830865,1.104313,38.765842,-1.9124881,-15.078433,-18.769777,32.063366,0.013862799,1.4596376,6.1646805,8.675402,27.17334,289.10596,1663.8695,1.8269765,1253.0463,1167.4185,-11.720309,2353.578,933.9113,-24.969536,0 days 00:00:04.801438105,0 days 00:00:04.901438105
0 days 00:00:00.040000,0 days 00:00:00.140000,answer1,4.3275647,-8.690499,33.681408,0.067912646,-0.0062607303,0.9826626,38.927456,-0.80165887,-17.710413,-19.605604,31.767496,0.015422292,0.42653728,5.745615,3.913288,30.773178,449.53787,1663.8661,2.2286909,1331.5907,1144.934,-9.217572,2404.532,1003.5213,-28.80721,0 days 00:00:04.811438105,0 days 00:00:04.911438105
0 days 00:00:00.050000,0 days 00:00:00.150000,answer1,4.2416873,-9.170692,36.593952,0.073494166,-0.0032390293,0.93668,39.08525,0.32184055,-17.667383,-19.041183,31.545921,0.018816367,0.41682136,6.144283,-0.19782384,32.97468,446.44852,1615.8947,2.7318287,1344.8993,975.98663,-5.726524,2708.4753,705.59106,-30.505575,0 days 00:00:04.821438105,0 days 00:00:04.921438105
0 days 00:00:00.060000,0 days 00:00:00.160000,answer1,4.001369,-10.229493,37.686863,0.07744793,-0.0014506312,0.96001405,39.195423,1.6817602,-15.38802,-17.083704,31.396757,0.019132672,0.34981441,7.376793,-2.9880922,35.120823,587.2425,1635.1742,2.4391596,1455.1016,969.5403,-3.8355026,2755.2698,686.14453,-32.16133,0 days 00:00:04.831438105,0 days 00:00:04.931438105
0 days 00:00:00.070000,0 days 00:00:00.170000,answer1,3.6229222,-11.73939,37.169987,0.076002926,-0.00168946,0.9856067,39.08415,3.416488,-11.992999,-14.186496,31.28766,0.01387011,1.4070749,7.9784265,-4.7489324,34.40735,523.51715,1496.2086,3.6985826,1460.0306,944.7227,-4.1741033,2787.132,728.5374,-31.949272,0 days 00:00:04.841438105,0 days 00:00:04.941438105
0 days 00:00:00.080000,0 days 00:00:00.180000,answer1,3.1543617,-13.492966,35.689163,0.07141753,-0.004958603,0.9804986,38.26218,5.2343445,-8.298501,-10.312865,31.144648,0.009638306,1.3864264,6.5237174,-6.1942925,31.666344,638.79144,1424.8795,1.8411756,1522.5978,882.88043,-7.037777,2777.3977,599.41705,-31.453156,0 days 00:00:04.851438105,0 days 00:00:04.951438105
0 days 00:00:00.090000,0 days 00:00:00.190000,answer1,2.7365825,-14.5717745,33.191746,0.06899635,-0.010388625,0.9509721,36.49856,5.5305386,-5.580057,-5.8575835,30.736732,0.0060001346,1.7213663,3.7429705,-3.3439138,32.02326,628.55664,1447.3324,0.14956506,1535.9227,893.2224,-10.909131,2781.1172,583.8882,-31.876755,0 days 00:00:04.861438105,0 days 00:00:04.961438105
