RectX_TL,RectY_TL,RectX_BR,RectY_BR,Confidence,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,pitch,roll,yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
829.9707573784722,247.8741874694824,1167.7845052083333,731.0891189575195,0.9972748,845.6261093195241,842.1932508627848,841.0827838479062,844.833709822695,858.7352416410222,880.6266094666644,908.136343497963,941.3106879922487,980.3437789685254,1020.2325269543212,1053.8110075479854,1083.21447502298,1109.23692737905,1131.3577883800854,1146.118554398241,1155.6558621959875,1162.4608878419976,890.4483816590002,913.0511264850234,945.04076430468,975.3418473305984,999.4998231666128,1060.8088212862158,1086.5651790703955,1114.044740279086,1138.9670770067278,1152.9219901818915,1019.4018929958538,1015.1384351428724,1011.1499889158854,1007.4458169912492,963.7845157182394,981.2605592733282,1000.7708489987036,1021.7423432003866,1041.1849773699137,911.6621052160664,931.4572740827334,952.1228061857466,969.964656332456,948.7345502806406,928.3352509984186,1059.3049151806613,1078.868413451747,1098.3401490149008,1113.9094291673896,1096.3804708455043,1076.845037101289,936.6898912928232,960.7883164148008,983.9728471777807,997.5899491637438,1013.8526858028422,1034.5225554651192,1049.668655732139,1032.9227391846075,1011.1487101135526,992.9529946240324,975.8015076447764,955.784812195627,945.467746034922,979.8878686557828,995.0830645637132,1011.5335259290388,1043.3112800270465,1013.6254391720876,996.9050641089862,981.5558416444082,393.528760706572,439.494671156572,487.5472932347268,536.7053016806544,582.0922775772774,623.1152886700088,657.667663645635,685.8234693527806,697.8070568886524,693.6227465314014,667.9083472886264,634.4823897948131,598.0097375865298,560.8250689766992,521.3849041119015,478.6864891521245,436.1637885453142,367.4973567341726,351.16079518202605,351.88833002269257,365.2140551690243,384.3772191855048,391.85439370628274,378.5288068088519,373.169743697832,379.0721422702627,399.9819428999463,444.2849782895392,475.4514994347114,505.276003937212,535.841211488184,547.7980132995181,557.5769110514811,565.4498748942492,561.5976038345889,555.2967028054891,431.2857106414267,430.7999385661028,435.2055335702596,445.03952350920713,449.7122672331232,445.6528301955552,452.5965367702197,446.4850885786075,448.733741512983,456.1899540441712,464.7892430497234,462.7312699118304,603.5391406244962,599.2055214543389,599.2419154774848,605.0454660858154,602.2595087983282,607.8870339936652,617.1756665810271,638.0546722680488,647.1855628595531,647.0589268663844,642.5300311237916,627.4129285637227,606.297517256266,615.5763341716683,619.6713703012024,618.6755980306825,617.0427402628702,623.1092402805971,623.1844476826536,618.1541577389421,-22.67416163760595,6.558640552159065,-0.3639564336227512,0.8464080691337585,0.7871297001838684,0.1000633388757705,0.2398940175771713,0.1177711859345436,0.0,0.1852684319019317,0.2155520021915435,1.0,0.0232247449457645,0.550544023513794,0.7712950706481934,0.4948806464672088,1.0,0.5383325815200806,0.7703208923339844,0.0220883693546056,0.733705461025238,0.2495370507240295,0.287175178527832
828.8883463541666,244.9613342285156,1172.8924696180554,740.1934204101562,0.9984665,840.1667151550691,837.7827864908522,837.7023879531489,842.2346905836084,856.2516031280029,877.7595535627697,905.4347333407331,939.0722452964146,978.993506471832,1020.061263723841,1054.3259002134,1084.3562196208768,1110.4057708978653,1132.2429665834095,1146.988159350214,1156.405529909949,1162.765825551087,887.1229413616456,909.772659068165,942.276692443722,973.1862684663064,997.9855379125584,1059.5994917072967,1086.1585495670915,1113.9304130365017,1138.6103819981254,1152.3224283174386,1018.6877495932168,1014.6520777361328,1010.8324431877628,1007.4187419986084,962.387537856308,980.0070823974238,999.959291461908,1021.1970624291862,1040.7425411448748,911.5884847045944,931.5922147176808,952.3067000378652,969.4583408522304,948.5077872185648,928.1414446576346,1059.1825067592436,1079.3164117369995,1098.7937389881918,1113.6586218789744,1096.3474414616503,1076.6747986308146,935.226434068074,959.0813771277626,982.4548499269677,996.372749799255,1013.0325240668426,1033.3673058404202,1047.7304040918789,1031.7094966713084,1010.32201563922,991.9814080591096,974.8412616055704,954.732382100614,944.271185433021,978.6377480343726,994.065482677157,1010.8156532739522,1041.0562362434102,1012.7454661311458,995.7865196862512,980.401432841416,394.9281302693344,441.8987288546632,490.7417924692127,540.5049008544665,587.4052935132713,629.7366334665567,664.9663003608694,693.063583531075,704.755031024637,700.2186371810021,673.8819925465577,639.6438515328009,602.3526736809836,564.5186573710525,524.3850250389878,480.6738835928391,437.2285293160512,368.22812923010497,351.323342654865,351.74539291446854,365.2101953553065,384.6733184811019,392.4464286945786,379.34707254231216,374.646073784168,381.2568898164973,402.4822100354541,443.2140096133371,475.42529986086265,506.274410940674,538.1998298814324,549.2755763584246,559.8908045454373,568.2812628872816,563.9586747815374,557.008783960282,430.7483487312602,430.92724632556383,435.2227899182399,444.2914863923343,449.3717105033375,445.2670724812979,452.0569986384853,447.5520061842872,450.15768391587153,457.4079866760021,466.13086051606297,463.4265863180408,608.1176003952714,602.2137495418174,602.1772297081916,608.2150456545387,605.2930693251255,611.8425525815837,623.5718659356171,642.6104947004314,650.8720178391741,650.4624006170125,646.0278797525316,631.2649052626621,610.5365523237924,619.1997227889005,623.2595522856864,622.3962885948094,622.9507099681468,626.4310040643977,626.4936297344757,621.3828720671336,-20.869882277364358,6.752772296488113,-0.5595182799343507,0.8169174194335938,0.7702877521514893,0.1170235276222229,0.2344492375850677,0.0696117579936981,0.0,0.1734884828329086,0.4507529437541961,1.0,0.0177479423582553,0.4491697549819946,0.4564044177532196,0.5498951077461243,0.0,0.6202243566513062,0.7881815433502197,0.1645735055208206,0.8681371808052063,0.6376236081123352,0.3576531708240509
827.6337890625,242.49710083007807,1167.0707465277776,733.078125,0.9983033,840.0000942489927,837.2834092392417,837.5384893732904,842.4967706693654,855.6550826300081,876.2291314776285,903.3127151664314,936.9889422042228,977.1044381820434,1018.2180959362196,1052.4298877426995,1081.8596332036875,1107.872543513272,1129.8887012939963,1145.0516090601327,1154.4926443152406,1160.572565892619,889.2932906396348,912.125304833698,943.9390556495892,973.9400339384532,997.8393705037148,1061.0900153173272,1086.7408062262125,1113.634698298719,1137.3839763739525,1150.8182201599095,1017.9850342056532,1013.72290289506,1009.7457651670708,1006.1913456968556,961.7375399957556,979.348648605514,999.3345516842564,1020.2839660637546,1039.5145063189652,911.5604406755144,932.2378093463284,953.0382179084752,970.0528646352116,948.8228603538053,928.3626931452324,1058.3734882084775,1078.9898369531468,1098.5801807291682,1113.6530849814676,1096.0408184317653,1076.1991665987855,933.5601065843078,957.845107329132,982.2269539601892,996.5834091888962,1013.347449640459,1033.982395602412,1047.7329324385537,1032.193483656051,1010.3830882944836,991.4717710284068,973.454804468243,952.6372724305596,942.6124775427256,978.1312677442876,994.0649599886656,1011.1191872080368,1041.2342576704832,1012.4330981536935,995.0527880282472,978.9904416382622,390.1489074373578,437.2682207115886,486.2575543619009,536.2637873622094,583.8328374929093,627.4570318576982,664.4260892056068,693.3501307128274,705.5128160838103,701.4776410022598,675.3185144579162,640.6912327460407,603.167837966713,564.8423416970188,524.0218708277789,479.88330550418686,436.2507248470756,369.2102303191594,354.0174968271906,354.9392345672357,367.98269116660526,385.9787621741416,392.4997711474974,379.58944255260974,374.8919960012147,381.0392886298858,401.73160525270544,443.7972650863747,475.7937598788976,506.5120644185845,538.0414006218431,550.1566455442073,560.5528058077485,568.6193663492145,564.0946633840249,557.2057979438832,430.6520676728262,430.4280589272774,434.84207336053805,444.8213050660263,449.3343584535964,445.0183653910579,451.7058896372837,445.7687104748322,448.2044371472384,456.4148804990306,464.9626528099914,462.3928682722391,607.6186082209265,601.0173329559912,600.2078627568895,606.3147327547849,602.9683564945256,609.6391432451958,621.5186245771242,643.8143020425356,654.4774551859141,654.8176439058539,650.1772873026116,633.910897858841,610.5287920131537,618.8405200209651,622.8933449143908,621.7039300572687,621.5354322508581,628.1834110935386,628.706449057378,623.6695506569165,-21.040307431039427,6.572675933537692,-0.5865412987455965,0.8081139922142029,0.6892992258071899,0.1882199645042419,0.2671436667442322,0.1149459928274154,0.0,0.1873343288898468,0.162968635559082,1.0,0.0254634786397218,0.569413959980011,0.6536064743995667,0.5648717284202576,1.0,0.7052791118621826,0.773769736289978,0.1474275738000869,0.8108738660812378,0.3257582783699035,0.3161628246307373
835.1008029513888,249.38842964172363,1169.9207899305554,729.0988082885742,0.99707174,846.96803289988,843.3501362285513,841.5056325387775,844.3588789384521,857.8711315603489,879.9340050841842,908.2168010141744,942.5634789530692,982.576865437427,1022.862188191018,1056.0547796516098,1085.864354225244,1112.027845180963,1134.0993394842624,1148.6531366674749,1157.9221301244404,1164.4182348553854,889.6538867518613,910.981283407981,943.0710841725552,974.2632087471331,999.5778145512572,1061.2443687986977,1087.5020106752131,1115.8370459553903,1141.4889172390965,1155.3159955802976,1021.9342663608318,1018.0762402364428,1014.4546207608478,1011.0715695623304,965.616232406664,983.680994284287,1003.9776888320692,1025.8168595622217,1045.864658053349,913.2427926429096,932.8624514876436,953.6048532005684,972.1575426179844,951.1287080017022,930.5364022082474,1061.714951844882,1081.0158906082447,1100.528909124321,1116.3831487452603,1098.7967929495146,1079.229150429827,937.1213910355206,961.8622217765884,985.5933662398536,999.6501090082976,1016.3257330654458,1036.746017852554,1051.5078117128328,1035.4614273555733,1014.3314422602424,995.7768142396832,978.0344266245776,957.1034828891384,945.9775134903184,981.80444359742,997.4376824600308,1014.200234854584,1045.028622580996,1016.609729848039,999.5456817752636,983.6459964930286,395.0544215562037,441.2941724421171,489.7579300278165,539.160863635401,584.5241771869939,624.8795813020017,658.3552774446252,685.0279519515923,696.0421342877462,691.5129740486389,665.9723065310782,632.8873504343858,596.5757695414766,559.3893468017895,519.9508505061897,477.2382593710339,434.7328757470634,372.46444526888,353.6526692614723,352.0047536550462,363.7311067317469,382.1829544741548,389.1932179325567,376.0461604001285,371.2050737685414,378.22539051404,401.06891207440617,441.64996616413,473.1518726586844,503.13537253024856,533.9333259028899,546.3136916258404,556.1534235727972,564.1210481799144,559.8716987130733,552.922338273773,433.0342991222129,432.0777271393789,435.5361093680019,444.1624644608768,449.7642383789315,446.6325708251729,450.65060890988855,445.17915029693097,447.48867856015954,454.6231327101883,463.1637946818204,461.068027437748,602.4483302915025,597.3812334138188,596.952853586505,602.5864343207327,599.6289150900443,605.0768016612426,614.7241830025189,634.3876233978858,643.6505780202815,643.8311597608624,639.7307910877896,625.1201053380025,604.7981917935783,613.405829930442,617.233867751341,615.9401503793852,614.3803468591859,619.766918672562,620.2337274471399,615.5729823752133,-24.435261362582416,5.8667399815871,0.4770230016559801,0.8150213956832886,0.7112646102905273,0.1973458379507064,0.2364014238119125,0.0949636325240135,0.0,0.2190189510583877,0.1879587322473526,1.0,0.023531312122941,0.6752311587333679,0.7259564399719238,0.5028863549232483,0.0,0.6278353929519653,0.7705775499343872,0.0534147173166275,0.6906417012214661,0.3322644829750061,0.2406868785619735
828.6832682291666,244.405460357666,1164.449978298611,723.4665298461914,0.9974981,843.0448668969075,840.6611711424767,841.3164572561847,846.0761048484127,858.426940877561,877.712068769383,904.5144152749727,939.6496957897988,981.120836450378,1022.2601708422848,1055.815932219713,1085.1582833810726,1110.77032822289,1132.2792622629886,1147.7072343689983,1157.923584845818,1164.9358384178731,892.4015419229931,915.168297041582,946.4759925672976,976.473664107483,1001.0443063551324,1067.221248020709,1093.136779011298,1119.8277981490028,1143.324588735883,1157.070657532368,1023.242140589547,1018.7943227022864,1014.7305482558564,1011.1609796041348,967.796554122032,985.5702305330594,1005.930683485718,1026.985947365521,1045.7849560304462,915.9944290328756,936.59941499905,957.3856634386354,975.9824051129092,954.4901239200842,934.1593616920402,1063.5322996984082,1083.7778788434844,1103.1291041476334,1119.0240755447812,1101.7592190012242,1082.105946683253,939.735427114652,963.4099680003642,987.7289158248676,1002.3269525115028,1018.6853253624148,1039.5861220909633,1054.4318270493973,1039.705775882485,1018.6366003648365,1000.0323203646362,981.774751959372,959.2955839748738,948.8573839925532,984.5196277547496,1000.5478733277636,1017.3082788063756,1047.7496150924453,1019.7179389538552,1002.6383539024972,986.258548220372,387.3181547503869,434.3039406098371,483.4837219650372,533.5072304495452,581.288909333789,625.8581306245137,663.5548314937637,692.1389641274027,703.2375043283137,697.9429268488157,671.3590547346189,636.524759014962,598.7212880385005,559.7948806199538,519.1063209858844,475.06724959849,431.29822160484855,365.6288662625,350.77680512470533,350.7906139671977,362.46437983396686,380.0895854893629,388.3961524904155,375.8484376603972,371.1786160746053,375.9291834106039,394.085258536805,441.76268579999896,474.0202960552308,504.9376262258734,536.8581533842844,549.7395076667799,560.0782531445493,567.9599840819747,562.9838323426297,554.8711887760328,429.4449927060882,431.1158797802252,435.0655685167835,442.38420364006856,447.8654060839208,444.0216308266279,448.4752737839224,444.9497529411933,446.5957806723322,451.5476384431236,460.8820047865588,458.98162708564087,607.0879046585801,602.1344021621321,601.7245913526808,607.3979011797428,603.6496742035665,607.8297787250876,616.9729457109361,640.4518499063001,652.9435412686385,654.2777906924866,650.4935168123352,634.3414885010984,609.9838553585455,619.9930046677437,623.3834352833605,621.5978799923482,617.744767490442,627.7434659386968,628.9328424442874,624.4626494350728,-25.076362543451797,4.628105142449254,1.502295940447361,0.8209457397460938,0.7513998746871948,0.3630992472171783,0.2896369695663452,0.134305790066719,0.0,0.261128306388855,0.367362231016159,1.0,0.043315015733242,0.661966860294342,0.80387943983078,0.5982583165168762,1.0,0.7714963555335999,0.813730776309967,0.27640101313591,0.8392972350120544,0.6304283142089844,0.2538057863712311
830.7646484375,243.9627628326416,1166.8499348958333,722.8157958984375,0.9973431,845.4158379201807,842.5683673274496,842.4985910302416,846.3857789704705,858.5407602812294,878.1179565261256,904.8303335862488,939.1724477720824,979.8183696229283,1020.5036792473855,1054.1335426104995,1083.3471117953968,1109.228817835183,1131.56809026711,1147.23151182459,1156.9544008655837,1163.9478541962867,895.3112505860136,919.4114476253744,952.3321769374198,983.4982836858092,1008.3763207535112,1071.3013031180162,1096.7529289202084,1122.7663613750449,1145.1672499849944,1157.2120311552374,1025.5974773819494,1020.3006780872184,1015.5295856943612,1011.2730688760536,967.1345817637634,984.91352064189,1005.0768583334748,1026.3104645847843,1045.4805625017325,918.3608044519794,939.0823867714648,959.2519066309948,976.9501519485756,955.6319989849544,935.6940278589004,1063.9716837021028,1084.54682912935,1103.206564251013,1117.9455033864865,1100.654955776017,1081.6776524483353,937.016069917594,962.036211222437,986.9538415651778,1001.366495809081,1017.8702812042302,1038.403881092877,1053.120317822035,1037.299208169159,1015.9983344505702,997.4926568990826,979.5635307276652,957.1190244397212,946.0043256053856,983.2576757644028,999.0895057417484,1015.8482499079932,1046.346682518319,1018.0903732331208,1001.0243016819963,984.9974508499196,386.6361906478244,433.6068299339348,482.858449440096,532.7891312884298,579.9817121162787,623.6991953040241,660.4330892295881,688.374056574233,699.7399980288499,694.7169266355963,668.8317955720179,634.6983852109656,597.7414194858118,560.1990829443226,520.8147343571178,477.7341172184243,434.7429445760656,359.40139470866774,343.6353936886095,344.1250179648321,357.39962242816205,376.84507513288895,386.2813924331841,373.9876120332439,369.5511102146529,374.6572555599877,393.2824493167061,439.6242542345575,471.85706751792736,502.7259849518622,534.4591043890603,545.9169734822613,556.935583274105,565.3708003701604,560.940155342254,553.354926400724,424.4508508310362,426.6737597726892,431.4934018778015,439.4422655953557,443.9565839545069,439.2474673671709,447.1032389380516,444.37854688571343,446.7190540192737,451.90782806359687,460.55270799109536,458.0287394581027,601.8750122002152,597.8436906962487,598.3071306655795,604.0956606261655,600.9466252510852,605.2867126499241,614.2317787876952,636.7522007279947,648.196301225551,649.0212867063929,644.9346853184192,628.9203358231841,604.9300991726739,615.6703572809206,619.4101750099278,618.1232223199859,614.761150465027,624.0470064701282,624.8176025731489,620.1193261861154,-29.1966227028699,6.632209620968741,1.3556147863961805,0.8002755045890808,0.6539867520332336,0.2446565628051757,0.262905865907669,0.1182949766516685,0.0,0.2144074887037277,0.258451372385025,1.0,0.0253612846136093,0.5892926454544067,0.7246292233467102,0.6209197044372559,1.0,0.7936549782752991,0.7844192981719971,0.0813533067703247,0.6834867000579834,0.2966344356536865,0.3893465399742126
829.2481011284722,244.2692985534668,1161.513671875,720.9087753295898,0.99636745,849.1297833923885,846.4088567546877,846.6707934378613,850.5742832744152,862.3066056996934,880.9828880907678,906.7569020168904,941.073411572406,982.3302332591296,1023.3367180357508,1057.0317661267077,1086.1485431661222,1111.9047781601166,1133.772182839734,1149.6147625480824,1160.4650931169997,1168.391599033716,895.2922522389864,918.7031000523456,950.4413917139556,980.8504738170768,1005.7932587438644,1071.0953275891247,1096.9261556866604,1123.7390013104796,1147.715127117357,1161.9055104925596,1026.5502898483714,1021.6161333270544,1017.1564680374964,1013.156225354576,970.2149904778294,987.54015925693,1007.4256135842038,1028.4136855765992,1047.3091960080403,917.4421936396268,938.0031621579976,958.7805461339916,977.8932561370336,955.9966005968868,935.5480160665528,1066.7560067490645,1087.2516892558804,1106.5193810910514,1122.4090417299258,1105.0962142229832,1085.5327409589618,940.5888802725516,964.4024558428276,988.7613997299912,1003.2421609659858,1019.6478367854828,1040.9163488463107,1056.284846425845,1040.376401143437,1018.682319744626,1000.198605518704,982.242344309893,959.8695952181216,949.5810823136512,985.3499584598964,1001.2413748322408,1017.9702419778672,1049.5101698492786,1020.134123818807,1003.1256007187244,986.9735005409738,386.3681960125895,433.0460408164589,481.9064157371533,531.8965113930402,579.3096335098109,623.6758932638318,661.6718406099808,690.6607388873374,701.9872311917034,696.8326704590543,670.3878129337843,635.1035362712175,596.6770080760159,557.6161657654166,517.0235738469049,473.0392457834569,429.15086940644267,362.3086984348204,347.58245838618893,347.768685455702,359.60693145168545,377.6088246847604,385.0848059838812,372.0069951121157,366.68886138550346,370.4429263715903,387.9159176812921,438.41781816666446,470.97886698746777,502.50355577419737,534.8810878324947,546.9830347680999,557.5767214231875,565.6558227381903,561.0260047156456,553.0893394091418,426.21519781480816,428.1817727148221,432.2193119495131,439.1260946852308,444.5711866922762,440.8197297374604,444.488803586834,441.2019171173736,442.67160239941904,446.8565550617668,456.3285155350352,454.65320488552646,603.5726086645848,599.6033214377958,599.7379503984378,605.5155749155116,602.0691553436648,605.9981800223358,614.4965436715943,638.1949567630022,650.7242117241042,651.8854845238889,647.9016400506591,631.6268771733921,606.8237497642722,617.4814269382571,621.0443726654532,619.5344759731579,615.3377956930686,625.7318401112559,626.7419152811474,622.1308137183122,-30.08324764018038,6.1518317932928,1.419039074338677,0.8415968418121338,0.710285484790802,0.2771251201629638,0.278046578168869,0.1469448357820511,0.0,0.4004279971122741,0.4745155274868011,1.0,0.0448099076747894,0.6977642178535461,0.5766942501068115,0.5832947492599487,1.0,0.6037237048149109,0.774425208568573,0.2662075161933899,0.8129445910453796,0.1578274816274643,0.2709276378154754
828.8082682291666,243.05354118347168,1162.623263888889,721.2290954589844,0.9963665,844.407441223263,842.120453641377,842.8420000618078,847.535442046136,860.2669352663189,879.8995612237843,906.5991814548296,941.3579725214124,982.4658282794708,1023.1800899433524,1056.4856473410478,1085.724065765586,1111.6980268120517,1133.59414372795,1148.9753344160758,1159.0052802685268,1165.964829647524,892.0364564836563,914.9499908757898,946.5573614500536,977.0565772234514,1002.1958609088352,1068.4911564597328,1094.185449544078,1121.063705676573,1145.0616246318723,1159.3076240113596,1024.3302274302282,1019.6856939925348,1015.4661860856312,1011.7079575972328,968.9188961999416,986.5428686681876,1006.687067762918,1027.8247601881694,1046.8004896414811,914.7109546293352,935.3156978042822,956.2660499748542,975.712601143532,953.772688847238,933.1892704826596,1065.331390732883,1085.714831284753,1105.2120010891088,1121.363757900088,1104.0056358744937,1084.240426713511,939.2765889451867,963.12928713894,987.5914097650084,1002.0708191979984,1018.2018155279934,1039.3687504758832,1054.7202540182195,1039.176433862088,1017.9493379816596,999.5884881447108,981.5304437746364,958.8521834330624,948.1917106495036,984.512343140106,1000.3892202382856,1016.880771742143,1047.8728864804543,1019.0696515156224,1002.2229829210598,986.0221123527608,389.2243119583537,435.9766757221004,484.9052132977356,534.63227695208,581.5627977923443,625.148658078411,662.133232640025,690.131255077989,700.7728997811826,695.1241336537767,668.5704524216758,633.4195037357126,595.2915636398338,556.1720455131622,515.3802313111726,471.16704196050864,427.2564357651436,363.81668110031546,348.7417673598218,348.4762931367597,359.87001790025,377.4237912132737,384.2561612701303,370.8841370979369,365.2609710035073,369.0506138276287,386.664736182986,439.14584693868767,471.87819959000217,503.4342674929708,535.8972298173144,548.7322689290613,559.1093286554953,566.8211120028031,561.9564901052534,553.6388222099497,428.82540826047307,430.3524664733544,434.0512180648312,440.7352207963022,446.7802145550111,443.3575055368831,444.59673866290814,440.83671458101446,442.0335203978784,446.1868136570304,456.22426680038086,454.7551122025013,604.943271997716,600.7788631597834,600.6381228315304,606.1768276281177,602.5881373674595,606.3420222296882,614.619332023573,637.7631299053696,650.3537288892855,651.721355500672,648.0849537557092,632.1441193273149,607.8960485467803,618.3807412775916,621.7340548823477,620.0227687768454,615.4813195066743,625.606004292117,626.8455452341698,622.5589334332121,-31.34284949014501,6.316454283727915,0.9507305188276672,0.8143147230148315,0.6698132753372192,0.3393670618534088,0.2664600312709808,0.1336120069026947,0.0,0.4613970518112182,0.523546040058136,1.0,0.0355482473969459,0.7081243991851807,0.5590586066246033,0.564735472202301,1.0,0.7119870781898499,0.7317317128181458,0.2928958237171173,0.7436133027076721,0.2272024303674698,0.2641200423240661
826.7562934027777,241.05600357055664,1163.7274305555554,725.4122772216797,0.9963523,839.1149664809914,837.234974093576,838.0173883579407,843.1067186816497,856.0664238806605,875.550650606632,902.8309411274269,938.3617882471452,980.1214455627324,1021.6444679901108,1056.040797970667,1086.8139344590347,1113.6544384944534,1135.9015477282223,1151.4932595915448,1161.6245447599167,1168.1375905081322,886.359275210888,907.5391803261792,938.1888980620045,968.6400198682996,993.9054234703912,1062.9738312380612,1088.272129185567,1115.8306618708664,1141.7298922202265,1158.1287367422826,1020.5019827630648,1016.3748943218992,1012.511965316,1008.982067739769,966.3710202338348,984.1051603877864,1004.469497064346,1026.052864577423,1045.0178144804158,909.3277735489924,929.9413381570024,951.8381459967122,972.6520560492004,950.328331918239,928.7292534144872,1063.9106705099937,1084.6017161117047,1104.8887796577246,1122.0561635780705,1104.7262306649022,1083.9647887389335,936.1715687511456,960.14065106425,985.118424015679,999.6344959805256,1015.6331346276702,1037.2778217735895,1053.0532846722767,1036.8615411474696,1015.2382639072543,996.739551077025,978.3909327718176,955.506376507372,945.4985274134732,982.097427426248,998.0734089887152,1014.3864753125132,1046.1047655993002,1016.3888904414856,999.57379993717,983.2171516370356,393.52048258283617,440.5801135541034,489.602890838622,539.4582813411711,586.7626365420415,630.5743363165709,666.8344366969275,693.8142783387254,703.4782178308024,696.5341331719524,669.562952495245,633.939640912218,595.1447185568327,555.0879628754512,513.1314418233524,467.3514164784473,421.8355505688089,368.79392958482833,352.55529559502014,350.8007746088739,361.6442336147247,379.1668210353706,381.8630314338998,365.7925240984325,357.62476632577614,360.0923618897709,377.9284069589799,438.8588506739054,471.2292943100929,502.4973703095345,534.8468370882723,550.5684980718158,560.543608717672,567.6124112738282,562.1437739839715,552.9421914522972,435.849546387347,436.1512424453168,438.3601696259124,443.8924130433953,452.0284543618896,449.90196224702737,443.2078157187651,437.9842837409755,438.1056585057568,442.0782699735646,453.8228850751739,453.28817441240346,608.4029585615551,601.9309657878696,599.8657413400591,604.8050204435715,600.7505455337263,604.9038247333264,614.6199032352495,638.7822290014577,652.6171853496405,654.7208991263142,651.731584347185,635.9188446547475,611.155170760361,618.8645382946263,621.5449684147602,619.357832222333,615.5746187391287,626.6084804015338,628.4298467162503,624.9096494209209,-30.260909130434904,5.913067188971501,1.9456197556952235,0.8400449156761169,0.5361153483390808,0.4827156662940979,0.2760793566703796,0.1582036316394806,0.0,0.4420012831687927,0.5037488341331482,1.0,0.053136084228754,0.6424230933189392,0.2447850406169891,0.5530815124511719,1.0,0.6033629179000854,0.7305734753608704,0.184346318244934,0.6599786281585693,0.1403522044420242,0.2706619203090668
828.4212782118055,243.06133460998532,1162.9307725694443,727.632682800293,0.9956885,841.2098485885135,839.1054519540373,840.2159341219501,845.5488306415865,858.4677691244536,877.396915067199,904.3788070191184,941.08788503187,984.982240173034,1027.696032155539,1061.9113949142252,1091.73428774201,1117.8672535085436,1139.5786702387172,1154.859757486592,1164.4870902663454,1169.936632470629,885.724387571503,907.6184931751808,938.8355020916372,969.885141520302,995.9606769200366,1067.2003261832376,1092.0061548495355,1118.9741657743562,1144.8080569270655,1161.7969437486522,1023.6821798027356,1019.668050175983,1016.0086579084248,1012.6755131017457,968.8331641557425,987.2457314008705,1008.5558460779488,1031.020512151295,1050.3648758334784,910.4155461300436,931.5806465315118,954.0747556323748,975.6793352438658,952.827369451876,930.7137668578928,1068.4145781267662,1089.383836471749,1110.0476429020682,1127.6221669643298,1110.615707906191,1089.569887291891,939.3417176753904,963.2450889544186,988.4307482723444,1003.6430022622454,1019.8371872852032,1042.087867187991,1058.6147462911545,1042.7830276387344,1021.2629299337444,1002.3457414300728,983.2052780785334,959.3453521614736,948.5950598860782,985.8976427878227,1002.6544513136434,1019.404050716776,1051.648446264392,1021.3215387148286,1004.0221743882432,986.927091643982,388.91077410832446,437.0730858474242,487.3861076353846,538.4439565703001,587.5246342895242,633.6217403339533,672.8493149600099,701.5816200257617,710.8640933307732,702.564937428566,673.228452426764,634.6705983665804,593.3789618008949,551.0880992395499,507.3073397695886,460.0049065368819,413.4037684410524,369.17205755140594,353.82634814366634,352.33062848210966,362.7782242527154,379.6432562669664,377.0859759599691,359.4132449307044,349.6178668079071,349.8281444393905,366.2853064738662,437.9619394815443,473.5125322738688,508.0350799094034,543.408373340618,556.490054302244,567.2783331087267,574.4339765837819,567.608947634311,556.3085438430255,435.8664762671299,436.5519148000177,438.46541698504575,443.2834331100058,451.9570648106903,450.1070756897291,437.5360813542926,430.9839073007921,429.5563797012008,432.28175734010745,445.3646167160189,446.0815085125579,613.7635880232698,608.2332204626945,606.6242690519939,611.2504116038715,606.3558678688379,608.2897496891571,615.9486107233861,641.3809052194288,656.7517599084674,659.7877710189695,657.3555585928372,641.6722161626656,616.6059579392611,625.0541139301029,627.334449550374,624.2738996953374,617.7189355727197,631.1128270015291,633.7832870688047,630.6941779969654,-24.2487361669503,5.551416591395322,0.3921405214569423,0.8683436512947083,0.5182664394378662,0.313060313463211,0.2462120503187179,0.1692243665456771,0.0,0.4720374047756195,0.5376192331314087,0.0,0.0705635398626327,0.4987527430057525,0.2084947377443313,0.59618079662323,1.0,0.671577513217926,0.6416184306144714,0.028415048494935,0.5387724041938782,0.1828423142433166,0.3313254714012146
