start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer2,0.17469901,-15.80366,22.798637,-0.012519869,-0.008840072,0.029935556,13.895489,21.633097,16.70465,12.847343,18.832449,0.0,0.0,-1.5699421,7.8709035,31.126749,1037.1627,1073.4259,-14.743241,2066.1921,502.81897,-21.545645,3235.1702,490.14694,-19.410156,0 days 00:00:14.133466800,0 days 00:00:14.153466800
0 days 00:00:00.010000,0 days 00:00:00.030000,answer2,0.17725915,-18.331865,26.691214,-0.01652398,-0.009132977,0.053443223,14.224368,24.39782,15.200982,15.2356825,18.710388,0.0,0.0,-1.4468174,6.174995,30.504744,1077.2723,1053.286,-15.525391,2120.9187,508.88687,-22.790596,3277.874,407.6113,-21.625381,0 days 00:00:14.143466800,0 days 00:00:14.163466800
0 days 00:00:00.020000,0 days 00:00:00.040000,answer2,0.17996784,-19.026121,28.382013,-0.02120964,-0.008034659,0.08694775,14.235771,25.96005,11.20755,14.265907,18.595766,0.0,0.13666844,-2.867997,3.63982,29.12266,1100.6051,1030.7506,-16.024582,2233.461,521.7399,-21.95495,3312.9812,343.449,-23.76282,0 days 00:00:14.153466800,0 days 00:00:14.173466800
0 days 00:00:00.030000,0 days 00:00:00.050000,answer2,0.16867884,-17.169355,26.85119,-0.031654276,-0.010913388,0.07511475,13.296754,24.326975,7.2009964,13.282168,18.54551,0.0,0.13666844,-3.4643445,2.31773,27.677288,848.8003,1152.4885,-78.29049,1924.1149,681.839,-81.3399,3017.5867,365.76913,-83.61176,0 days 00:00:14.163466800,0 days 00:00:14.183466800
0 days 00:00:00.040000,0 days 00:00:00.060000,answer2,0.16210093,-13.797768,21.612986,-0.02605409,-0.0055981637,0.065186076,11.832737,20.508446,4.984897,11.612132,0.0,0.0,0.0,0.0,0.0,0.0,816.17596,1222.3514,-139.50377,1882.6123,717.2695,-140.12965,2997.4001,367.94424,-142.26698,0 days 00:00:14.173466800,0 days 00:00:14.193466800
0 days 00:00:00.050000,0 days 00:00:00.070000,answer2,0.16011702,-13.420165,18.951773,-0.024927795,-0.005363355,0.05114456,11.20679,20.219131,5.026474,15.955929,0.0,0.0,0.0,0.0,0.0,0.0,779.5957,1238.7129,-201.0,1746.4156,743.3782,-201.0,2962.1975,385.4363,-201.0,0 days 00:00:14.183466800,0 days 00:00:14.203466800
0 days 00:00:00.060000,0 days 00:00:00.080000,answer2,0.16308425,-13.97079,17.8015,-0.008411589,-0.0048842034,0.052493025,11.417256,19.908598,5.930477,17.128832,0.0,0.0,0.0,0.0,0.0,0.0,988.77124,1099.6089,-201.0,1989.6162,609.1883,-201.0,3224.0723,402.1355,-201.0,0 days 00:00:14.193466800,0 days 00:00:14.213466800
0 days 00:00:00.070000,0 days 00:00:00.090000,answer2,0.16726005,-16.765314,20.561808,-0.01386172,-0.0117506785,0.06550925,14.005885,22.013247,7.7623863,17.932383,0.0,0.0,0.0,0.0,0.0,0.0,944.9902,1018.2805,-201.0,1945.1862,560.9605,-201.0,3210.4617,364.78552,-201.0,0 days 00:00:14.203466800,0 days 00:00:14.223466800
0 days 00:00:00.080000,0 days 00:00:00.100000,answer2,0.24346624,-11.814408,17.70409,-0.010837905,-0.013136879,0.08972474,5.559176,27.125992,12.271469,14.493427,0.0,0.0,0.0,0.0,0.0,0.0,1111.5305,780.0147,-201.0,2094.894,525.8186,-201.0,3224.7073,460.16537,-201.0,0 days 00:00:14.213466800,0 days 00:00:14.233466800
0 days 00:00:00.090000,0 days 00:00:00.110000,answer2,0.2989562,-7.985124,13.59975,-0.004063646,-0.015825206,0.09980924,-2.154936,34.88921,14.774246,13.376956,0.0,0.0,0.0,0.0,0.0,0.0,1341.028,441.0708,-141.89125,2258.617,432.47098,-139.59767,3250.08,645.06213,-136.43323,0 days 00:00:14.223466800,0 days 00:00:14.243466800
0 days 00:00:00.100000,0 days 00:00:00.120000,answer2,0.34987208,-2.6877193,8.941727,0.0006327983,-0.011730551,0.10490552,-10.10616,39.740063,17.186777,9.249683,16.157635,0.0,0.0,-3.559811,0.8294163,23.583195,1115.3928,555.60333,-73.213005,2171.0945,321.04276,-79.61776,3041.4834,1046.2495,-75.378456,0 days 00:00:14.233466800,0 days 00:00:14.253466800
0 days 00:00:00.110000,0 days 00:00:00.130000,answer2,0.3011519,-8.554578,13.837705,-0.010125108,-0.011613991,0.119137846,-5.52664,41.657257,17.02662,11.913132,15.189458,0.0,0.0,-2.4625206,-2.2709253,22.192713,1086.4547,1144.1749,-11.948509,1993.8628,228.97691,-18.04688,3000.4375,807.4041,-11.882459,0 days 00:00:14.243466800,0 days 00:00:14.263466800
