start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.025011338,answer2 ,0.3068095,-13.250229,22.09025,-0.0009280434,-0.022518583,0.03139469,23.43336,7.638621,4.143002,-1.8877054,0.0,0.0,0.0,0.0,0.0,0.0,916.40155,1374.9049,-201.0,1944.9059,1087.1918,-201.0,3220.152,1117.5533,-201.0,0 days 00:00:19.185852519,0 days 00:00:19.210863857
0 days 00:00:00.010000,0 days 00:00:00.035011338,answer2 ,0.30889043,-12.646245,23.24172,-0.0085561825,-0.020533545,0.051893726,22.302223,7.205397,0.08670139,-1.2266873,0.0,0.0,0.0,0.0,0.0,0.0,752.64453,1457.4896,-201.0,1725.4775,1451.2477,-201.0,2694.212,1228.8788,-201.0,0 days 00:00:19.195852519,0 days 00:00:19.220863857
0 days 00:00:00.020000,0 days 00:00:00.045011338,answer2 ,0.31558928,-12.740205,23.653925,-0.013774202,-0.018579464,0.08385181,22.20617,7.923202,-1.9756013,-1.4852734,0.0,0.0,0.0,0.0,0.0,0.0,581.5954,1424.2799,-201.0,1556.8922,1581.0416,-201.0,2324.805,1176.8474,-201.0,0 days 00:00:19.205852519,0 days 00:00:19.230863857
0 days 00:00:00.030000,0 days 00:00:00.055011338,answer2 ,0.32926086,-12.391518,22.353851,-0.0068839067,-0.017411228,0.07263496,22.284143,7.59767,-2.4557226,-2.1709986,0.0,0.0,0.0,0.0,0.0,0.0,519.4654,1399.5345,-201.0,1586.3597,1624.2152,-201.0,2301.1172,1394.6398,-201.0,0 days 00:00:19.215852519,0 days 00:00:19.240863857
0 days 00:00:00.040000,0 days 00:00:00.065011338,answer2 ,0.33246014,-11.480542,20.190529,0.0068297014,-0.015714163,0.078649946,22.29318,6.378838,0.122983776,-2.238827,0.0,0.0,0.0,0.0,0.0,0.0,640.1953,1323.8052,-201.0,1757.555,1244.9161,-201.0,2678.931,1333.5206,-201.0,0 days 00:00:19.225852519,0 days 00:00:19.250863857
0 days 00:00:00.050000,0 days 00:00:00.075011338,answer2 ,0.3337234,-10.486083,19.113058,0.0049573383,-0.020119147,0.071903855,20.998774,4.675574,1.8726315,-1.3027716,0.0,0.0,0.0,0.0,0.0,0.0,633.78864,1349.251,-201.0,1717.6432,1131.7936,-201.0,2710.1191,1285.1049,-201.0,0 days 00:00:19.235852519,0 days 00:00:19.260863857
0 days 00:00:00.060000,0 days 00:00:00.085011338,answer2 ,0.33928028,-10.892272,19.064878,0.007799503,-0.022149483,0.08166779,20.63732,5.338499,2.0996075,-1.758522,0.0,0.0,0.0,0.0,0.0,0.0,583.04004,1413.8942,-201.0,1525.9984,1286.7002,-201.0,2491.9395,1173.4847,-201.0,0 days 00:00:19.245852519,0 days 00:00:19.270863857
0 days 00:00:00.070000,0 days 00:00:00.095011338,answer2 ,0.34966013,-11.739476,19.593369,-0.005672728,-0.024014257,0.089851916,20.575233,6.1889095,3.6465504,-1.4580722,0.0,0.0,0.0,0.0,0.0,0.0,416.60837,1531.4028,-201.0,1271.9943,1420.2018,-201.0,2164.6445,1063.1586,-201.0,0 days 00:00:19.255852519,0 days 00:00:19.280863857
0 days 00:00:00.080000,0 days 00:00:00.105011338,answer2 ,0.3789834,-10.147146,15.935291,-0.003988466,-0.018126061,0.101228975,18.707703,5.5453544,1.1518363,-5.8042107,0.0,0.0,0.0,0.0,0.0,0.0,422.9385,1525.9003,-201.0,1333.378,1364.0919,-201.0,2277.1724,1064.3541,-201.0,0 days 00:00:19.265852519,0 days 00:00:19.290863857
0 days 00:00:00.090000,0 days 00:00:00.115011338,answer2 ,0.41745755,-7.8987136,10.532814,-0.0049814726,-0.016228473,0.10439899,14.914208,7.913334,3.9224365,-9.12431,0.0,0.0,0.0,0.0,0.0,0.0,542.363,1552.5825,-201.0,1473.7109,1225.0004,-201.0,2499.7686,849.86444,-201.0,0 days 00:00:19.275852519,0 days 00:00:19.300863857
