start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.025011338,answer1,0.8704111,-14.567889,16.348806,0.044111952,-0.046221938,0.1517629,33.25716,5.362642,23.488045,-9.61106,0.0,0.0,0.0,0.0,0.0,0.0,754.46094,1064.4498,-201.0,1961.0016,429.8981,-201.0,2779.8074,636.92065,-201.0,0 days 00:00:05.205205205,0 days 00:00:05.230216543
0 days 00:00:00.010000,0 days 00:00:00.035011338,answer1,0.85656786,-14.46291,17.28774,0.04049784,-0.042969525,0.30685988,31.311562,5.361304,23.34788,-9.480176,0.0,0.0,0.0,0.0,0.0,0.0,811.5532,1153.4038,-201.0,1922.4103,629.0765,-201.0,2745.3213,729.89325,-201.0,0 days 00:00:05.215205205,0 days 00:00:05.240216543
0 days 00:00:00.020000,0 days 00:00:00.045011338,answer1,0.82308704,-13.765011,16.385859,0.033695076,-0.037786387,0.40689585,29.53827,4.3818736,23.77978,-8.243356,0.0,0.0,0.0,0.0,0.0,0.0,728.7417,1313.5142,-201.0,1885.0367,815.60736,-201.0,2694.6482,760.14264,-201.0,0 days 00:00:05.225205205,0 days 00:00:05.250216543
0 days 00:00:00.030000,0 days 00:00:00.055011338,answer1,0.8950777,-11.639389,14.594067,0.0375083,-0.030432923,0.38625774,26.995361,0.2449894,22.718618,-1.6298562,0.0,0.0,0.0,0.0,0.0,0.0,571.81445,1565.583,-201.0,1652.2135,1159.2927,-201.0,2464.3545,962.5711,-201.0,0 days 00:00:05.235205205,0 days 00:00:05.260216543
0 days 00:00:00.040000,0 days 00:00:00.065011338,answer1,0.87982017,-10.307864,13.8578005,0.038323727,-0.019859025,0.35603943,26.204641,-2.457337,20.807127,4.4058175,0.0,0.0,0.0,0.0,0.0,0.0,566.867,1659.5431,-201.0,1587.5609,1127.8158,-201.0,2472.037,844.4068,-201.0,0 days 00:00:05.245205205,0 days 00:00:05.270216543
0 days 00:00:00.050000,0 days 00:00:00.075011338,answer1,0.9589708,-8.784745,14.550965,0.044777904,-0.012927163,0.3566314,23.875277,-4.001245,15.635788,5.605044,0.0,0.0,0.0,0.0,0.0,0.0,760.62274,1627.2164,-201.0,1500.3661,1636.4178,-201.0,2449.305,788.92865,-201.0,0 days 00:00:05.255205205,0 days 00:00:05.280216543
0 days 00:00:00.060000,0 days 00:00:00.085011338,answer1,1.082189,-7.8372917,14.399879,0.04251511,-0.012593319,0.41794172,22.536736,-4.92206,11.424281,0.9178092,0.0,0.0,0.0,0.0,0.0,0.0,746.13165,1661.7891,-201.0,1442.2725,1592.2074,-201.0,2463.2078,711.5496,-201.0,0 days 00:00:05.265205205,0 days 00:00:05.290216543
0 days 00:00:00.070000,0 days 00:00:00.095011338,answer1,1.2895126,-6.5794044,13.51157,0.04374275,-0.0185361,0.47197294,18.937086,-4.037601,10.488061,-3.6356258,0.0,0.0,0.0,0.0,0.0,0.0,713.3794,1555.5111,-201.0,1487.001,1595.8077,-201.0,2456.612,763.855,-201.0,0 days 00:00:05.275205205,0 days 00:00:05.300216543
0 days 00:00:00.080000,0 days 00:00:00.105011338,answer1,1.4197559,-6.3808503,11.696719,0.04379965,-0.025697341,0.49105608,19.167227,-4.331407,10.649598,-5.080772,0.0,0.0,0.0,0.0,0.0,0.0,631.22656,1436.7013,-201.0,1563.3281,1026.6869,-201.0,2536.2158,769.2878,-201.0,0 days 00:00:05.285205205,0 days 00:00:05.310216543
0 days 00:00:00.090000,0 days 00:00:00.115011338,answer1,1.3608793,-6.444729,11.622288,0.041252483,-0.02644425,0.45030585,19.199594,-4.668424,13.046046,-4.977022,0.0,0.0,0.0,0.0,0.0,0.0,795.54443,1341.1371,-201.0,1860.7601,936.90497,-201.0,2801.7168,721.534,-201.0,0 days 00:00:05.295205205,0 days 00:00:05.320216543
