start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.025011338,answer2   ,0.5936563,-4.409845,5.519154,0.02368932,-0.01232063,0.043751817,11.820643,3.3958073,21.109833,-2.420169,0.0,0.0,0.0,0.0,0.0,0.0,707.4983,1339.316,-201.0,1817.2544,659.03314,-201.0,2702.7185,1035.7124,-201.0,0 days 00:00:05.672339006,0 days 00:00:05.697350344
0 days 00:00:00.010000,0 days 00:00:00.035011338,answer2   ,0.6128233,-3.9676116,4.6367955,0.019751066,-0.016351502,0.081021115,10.549786,4.536405,20.222189,4.688273,0.0,0.0,0.0,0.0,0.0,0.0,658.09686,1767.2933,-201.0,1695.8174,756.26117,-201.0,2629.1055,1029.3673,-201.0,0 days 00:00:05.682339006,0 days 00:00:05.707350344
0 days 00:00:00.020000,0 days 00:00:00.045011338,answer2   ,0.6081726,-2.768795,4.6554523,0.0109825125,-0.018936977,0.13597034,7.9957795,5.1475067,16.478369,9.06826,0.0,0.0,0.0,0.0,0.0,0.0,521.22235,1789.0123,-201.0,1576.9883,971.2609,-201.0,2434.166,1376.1855,-201.0,0 days 00:00:05.692339006,0 days 00:00:05.717350344
0 days 00:00:00.030000,0 days 00:00:00.055011338,answer2   ,0.6149072,-2.8111498,5.4595428,0.019681364,-0.019286763,0.13032763,5.87602,7.0585055,12.139386,7.0732384,0.0,0.0,0.0,0.0,0.0,0.0,676.88214,1819.581,-201.0,1641.9312,976.35846,-201.0,2479.993,1278.0071,-201.0,0 days 00:00:05.702339006,0 days 00:00:05.727350344
0 days 00:00:00.040000,0 days 00:00:00.065011338,answer2   ,0.64625365,-1.8527983,5.7400513,0.027223652,-0.01588096,0.14442568,5.254969,5.7873807,6.542928,4.6318564,0.0,0.0,0.0,0.0,0.0,0.0,741.5629,1422.1884,-201.0,1698.182,994.01825,-201.0,2537.9004,1156.8151,-201.0,0 days 00:00:05.712339006,0 days 00:00:05.737350344
0 days 00:00:00.050000,0 days 00:00:00.075011338,answer2   ,0.6967073,-1.6988043,5.132067,0.03162438,-0.0107327,0.14327282,5.4316864,4.3310103,2.548709,4.37605,0.0,0.0,0.0,0.0,0.0,0.0,887.37933,1356.9355,-201.0,1781.9015,888.56354,-201.0,2732.89,708.80835,-201.0,0 days 00:00:05.722339006,0 days 00:00:05.747350344
0 days 00:00:00.060000,0 days 00:00:00.085011338,answer2   ,0.7036498,-1.1965566,4.1739078,0.029179001,-0.009791319,0.15207516,5.2400994,3.3602886,-1.123826,4.1489377,0.0,0.0,0.0,0.0,0.0,0.0,718.72266,1515.5741,-201.0,1612.4136,1205.4727,-201.0,2488.401,911.6165,-201.0,0 days 00:00:05.732339006,0 days 00:00:05.757350344
0 days 00:00:00.070000,0 days 00:00:00.095011338,answer2   ,0.6489091,-0.990863,5.184033,0.015571254,-0.01184881,0.13222027,3.2684472,3.9519494,-2.3630574,6.0737853,0.0,0.0,0.0,0.0,0.0,0.0,681.42316,1764.6058,-201.0,1539.8204,1246.4547,-201.0,2440.035,950.90204,-201.0,0 days 00:00:05.742339006,0 days 00:00:05.767350344
0 days 00:00:00.080000,0 days 00:00:00.105011338,answer2   ,0.60042477,-0.62291974,5.7091293,0.0128021985,-0.016480917,0.107411325,1.5172783,6.0036225,-3.023843,6.5879855,0.0,0.0,0.0,0.0,0.0,0.0,589.81244,2086.574,-201.0,1436.8536,1358.2928,-201.0,2395.4543,968.8089,-201.0,0 days 00:00:05.752339006,0 days 00:00:05.777350344
0 days 00:00:00.090000,0 days 00:00:00.115011338,answer2   ,0.5775108,-1.8098488,8.462272,0.0047554513,-0.017553968,0.09842696,1.7952194,8.907252,0.4349718,10.468053,0.0,0.0,0.0,0.0,0.0,0.0,927.0686,2267.447,-201.0,1480.753,1182.8893,-201.0,2602.9521,865.2203,-201.0,0 days 00:00:05.762339006,0 days 00:00:05.787350344
