start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end,filename
0 days 00:00:00.880000,0 days 00:00:00.900000,answer9,0.39533067,-13.407813,28.310316,0.06260848,-0.03156225,0.36124918,29.697403,-1.2774497,-12.791905,-12.056218,0.0,0.0,0.0,0.0,0.0,0.0,382.96072,1425.88,-201.0,1376.9198,1011.096,-201.0,2598.3025,936.15546,-201.0,0 days 00:01:06.378832165,0 days 00:01:06.398832165,ID57_20ms.csv
0 days 00:00:00.900000,0 days 00:00:00.920000,answer9,0.31212378,-12.186226,23.875252,0.050341323,-0.026126817,0.1548547,27.944658,0.2226727,-10.208356,-14.320812,0.0,0.0,0.0,0.0,0.0,0.0,393.74313,1418.6222,-201.0,1281.1095,1262.2291,-201.0,2435.4548,1047.3873,-201.0,0 days 00:01:06.398832165,0 days 00:01:06.418832165,ID57_20ms.csv
0 days 00:00:00.920000,0 days 00:00:00.940000,answer9,0.35893467,-16.850449,27.236822,0.060562897,-0.028597027,0.19789954,32.186253,8.053036,-3.6818283,-14.069751,14.366497,0.0,0.0,-2.345009,-20.348316,16.914148,598.4847,1445.8262,13.079856,1571.5511,1333.0997,-8.792175,2519.6672,875.06134,-13.714374,0 days 00:01:06.418832165,0 days 00:01:06.438832165,ID57_20ms.csv
0 days 00:00:00.940000,0 days 00:00:00.960000,answer9,0.37860644,-24.861135,35.37113,0.07247575,-0.032488205,0.34823743,35.832577,18.483534,7.181645,-10.012556,14.220738,0.0,0.0,-1.3992901,-27.515608,15.295184,957.7409,1404.1327,8.252164,2061.4395,1765.4537,-10.4071,2768.964,721.1345,-7.44426,0 days 00:01:06.438832165,0 days 00:01:06.458832165,ID57_20ms.csv
0 days 00:00:00,0 days 00:00:00.020000,answer10,0.62853587,-9.376609,19.58198,-0.049568605,0.0050055906,0.073742196,21.317747,-0.95902294,6.6658006,28.958338,28.332994,0.0,1.584123,5.5852027,10.573022,8.392379,1067.5726,2422.068,-20.445274,1368.2305,1920.3812,-16.491661,2475.484,654.0286,-27.743744,0 days 00:01:15.642308976,0 days 00:01:15.662308976,ID57_20ms.csv
0 days 00:00:00.020000,0 days 00:00:00.040000,answer10,0.5881917,-8.09381,21.975073,-0.050472338,0.01488281,0.22545414,24.513166,-4.0185065,5.6431007,31.834803,28.172709,0.027377928,0.79822254,4.9240074,8.063407,13.146332,1115.6299,1115.4054,-19.359526,1886.3922,1807.476,-17.954466,2885.324,1885.484,-32.005592,0 days 00:01:15.662308976,0 days 00:01:15.682308976,ID57_20ms.csv
0 days 00:00:00.040000,0 days 00:00:00.060000,answer10,0.5139189,-8.9059725,20.928152,-0.034307685,0.018067103,0.19865681,25.439547,-3.993576,4.8806615,29.341574,27.499512,0.021029709,0.668721,3.1745274,4.2210774,14.754046,635.43463,1509.2052,-19.447863,1679.0524,966.9039,-19.886305,2825.1428,3886.3992,-31.77472,0 days 00:01:15.682308976,0 days 00:01:15.702308976,ID57_20ms.csv
0 days 00:00:00.060000,0 days 00:00:00.080000,answer10,0.36507526,-8.852843,23.960892,-0.007916202,0.012644909,0.2022742,22.808214,1.7962027,5.238959,18.783056,0.0,0.0,0.0,0.0,0.0,0.0,365.18576,1331.4652,-139.77367,1261.0292,819.82666,-140.6087,2492.547,590.08813,-142.97913,0 days 00:01:15.702308976,0 days 00:01:15.722308976,ID57_20ms.csv
0 days 00:00:00.080000,0 days 00:00:00.100000,answer10,0.24179338,-11.87551,23.414942,0.010529502,-0.004307436,0.12072304,18.370203,11.110665,6.735067,11.50481,0.0,0.0,0.0,0.0,0.0,0.0,294.01605,1419.6396,-201.0,1260.6685,870.9553,-201.0,2377.4421,623.37445,-201.0,0 days 00:01:15.722308976,0 days 00:01:15.742308976,ID57_20ms.csv
0 days 00:00:00.100000,0 days 00:00:00.120000,answer10,0.19743435,-13.123596,22.671305,0.019471364,-0.01142523,0.07659673,18.833855,13.365936,7.4447036,5.4262295,0.0,0.0,0.0,0.0,0.0,0.0,328.7335,1369.6315,-201.0,1292.4744,975.3177,-201.0,2315.6853,685.90106,-201.0,0 days 00:01:15.742308976,0 days 00:01:15.762308976,ID57_20ms.csv
