file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./voice_sample/asano.wav,0 days 00:00:41.720000,0 days 00:00:41.745000,0.3237735,-26.543772,42.76182,0.0009934051,-0.02848581,0.50822717,45.679398,19.768997,15.819655,-6.280311,0.0,0.0,0.0,0.0,0.0,0.0,722.5954,1467.466,-201.0,1908.958,1161.7094,-201.0,3148.2393,1394.3862,-201.0
./voice_sample/asano.wav,0 days 00:00:41.730000,0 days 00:00:41.755000,0.22830097,-28.61527,44.264774,-0.018499577,-0.02392202,0.36714628,40.819195,21.04386,16.251158,0.79591435,0.0,0.0,0.0,0.0,0.0,0.0,984.11383,1219.244,-201.0,2225.815,1084.5626,-201.0,3346.338,1424.1542,-201.0
./voice_sample/asano.wav,0 days 00:00:41.740000,0 days 00:00:41.765000,0.14566118,-30.419714,43.79128,-0.033445712,-0.015457385,0.24873419,33.84806,22.920576,18.707594,10.8771925,0.0,0.0,0.0,0.0,0.0,0.0,1021.67804,1240.3953,-201.0,2163.1296,1073.8356,-201.0,3284.3171,1192.5079,-201.0
./voice_sample/asano.wav,0 days 00:00:41.750000,0 days 00:00:41.775000,0.10202938,-28.468447,41.531895,-0.04263625,-0.011548785,0.11632752,28.220894,20.886776,20.654041,18.403273,0.0,0.0,0.0,0.0,0.0,0.0,1053.1522,1217.267,-201.0,2089.344,1039.6866,-201.0,3204.8523,995.1982,-201.0
./voice_sample/asano.wav,0 days 00:00:41.760000,0 days 00:00:41.785000,0.08160921,-22.969473,34.762707,-0.04487504,-0.009192563,0.065014996,22.594475,16.615139,20.349257,25.091743,0.0,0.0,0.0,0.0,0.0,0.0,1143.2078,1253.9546,-201.0,1919.8789,1097.582,-201.0,3124.969,968.6126,-201.0
./voice_sample/asano.wav,0 days 00:00:41.770000,0 days 00:00:41.795000,0.072717294,-17.761343,28.258387,-0.046328213,-0.011513849,0.04745784,18.126669,13.463265,17.343044,28.535215,0.0,0.0,0.0,0.0,0.0,0.0,1126.798,1382.6962,-201.0,1742.913,1137.1136,-201.0,2859.6746,870.84845,-201.0
./voice_sample/asano.wav,0 days 00:00:41.780000,0 days 00:00:41.805000,0.085831426,-11.508789,20.841194,-0.052333582,-0.01131069,0.019732684,16.073467,7.4730716,14.504859,31.430567,0.0,0.0,0.0,0.0,0.0,0.0,1164.4432,1454.1141,-201.0,1648.952,1860.3383,-201.0,2640.4688,999.5425,-201.0
./voice_sample/asano.wav,0 days 00:00:41.790000,0 days 00:00:41.815000,0.094107084,-9.645032,17.87649,-0.057439357,-0.01045866,0.020427061,15.4140625,3.955149,12.683128,26.123405,0.0,0.0,0.0,0.0,0.0,0.0,1028.5577,1525.6278,-201.0,1684.1099,1775.061,-201.0,2609.0684,1001.49567,-201.0
./voice_sample/asano.wav,0 days 00:00:41.800000,0 days 00:00:41.825000,0.14932725,-5.682467,12.130202,-0.045971382,-0.014851141,0.033244405,15.740533,-2.0995328,12.968938,21.356592,0.0,0.0,0.0,0.0,0.0,0.0,970.39667,1446.814,-201.0,1718.3397,1766.6484,-201.0,2579.0925,1111.1516,-201.0
./voice_sample/asano.wav,0 days 00:00:41.810000,0 days 00:00:41.835000,0.15513496,-8.616501,12.821171,-0.050331295,-0.015812304,0.040785786,18.159105,-0.7116341,15.300728,18.895842,0.0,0.0,0.0,0.0,0.0,0.0,873.8476,1344.2345,-201.0,1771.0532,967.91724,-201.0,2811.5427,908.2304,-201.0
