start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer3,0.0,0.6419876,0.0,0.0,0.0,-100.0,0.40180516,0.98834115,0.004555691,0.07067271,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0020315733,0.0019378788,358.88672,717.77344,1277.6367,1937.9883,0.015591681,998.2246,5.1455493,1.3912635e+06,3.914786,26.67933,-0.00084923254,0.82583,0.0021908386,15.766019,-5.3754334,-0.2888973,-4.9565144,8.141219,-8.150746,-6.7182426,4.574261,1.1738563,-9.59352,-8.455579,-0.4097642,1.5108064,7.916176,0 days 00:00:08.308308308,0 days 00:00:08.348308308
0 days 00:00:00.010000,0 days 00:00:00.050000,answer3,0.0,0.6409075,0.0,0.0,0.0,-100.0,0.42311183,0.98834115,0.0047573,0.07029479,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0023409603,0.003089116,373.2422,803.90625,1306.3477,1880.5664,0.033490334,1018.5247,5.108872,1.158234e+06,4.236248,33.338726,-0.0010054224,0.8527167,0.0026684848,16.412909,-9.421069,-3.3744383,-4.5902905,7.363285,-7.82444,-6.7796836,-3.4329615,-1.2019485,-8.534564,-4.914844,2.618531,0.48821703,9.496867,0 days 00:00:08.318308308,0 days 00:00:08.358308308
0 days 00:00:00.020000,0 days 00:00:00.060000,answer3,0.0,0.6364612,0.0,0.0,0.0,-100.0,0.44423115,0.98834115,0.0050046374,0.067649275,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0023052597,0.0038138211,473.73047,803.90625,1234.5703,1737.0117,0.05512244,1006.8483,5.00214,947487.5,4.801735,41.159653,-0.0012260022,0.86199695,0.003307582,17.64585,-12.258943,-7.1025696,-6.3338985,4.7002378,-4.5377936,-5.594839,-7.939173,-3.0210588,-7.601293,-5.36513,-0.8815026,-5.1900725,6.3565865,0 days 00:00:08.328308308,0 days 00:00:08.368308308
0 days 00:00:00.030000,0 days 00:00:00.070000,answer3,0.0,0.62523913,0.0,0.0,0.0,-100.0,0.43160865,0.98834115,0.004934054,0.061035525,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0017237384,0.0037025332,559.8633,904.39453,1349.4141,1765.7227,0.06165293,1113.2992,5.120266,1.1003208e+06,4.6729593,39.26251,-0.0010745882,0.931592,0.0030735459,16.530151,-14.543689,-7.1058106,-3.1580229,3.164053,-2.8103647,-5.0247455,-6.1297555,-1.4189934,-9.868657,-8.374092,-2.1740158,-6.4984775,0.20331128,0 days 00:00:08.338308308,0 days 00:00:08.378308308
0 days 00:00:00.040000,0 days 00:00:00.080000,answer3,0.0,0.6420266,0.0,0.0,0.0,-100.0,0.42737022,0.98364,0.0050158664,0.050453514,0.12681246,0.26929805,0.4271668,0.54280066,0.62675834,0.76089436,0.8476251,0.8877902,0.998796,1.0471344,1.1005168,1.1478243,1.266527,1.3099722,1.3072381,1.4144646,1.4567013,1.426952,1.4254059,1.4481481,1.2955562,1.1944674,1.0438601,0.86652017,0.73714906,0.5982587,0.0016856674,0.0037030017,545.5078,904.39453,1320.7031,1794.4336,0.06412468,1104.56,5.1055965,1.0659889e+06,4.607637,40.5075,-0.0010862157,0.92350155,0.0030759692,17.139305,-15.303975,-5.914293,-0.58812875,1.6617225,0.93825454,-4.898601,-3.2061253,-3.6971169,-11.407231,-10.938832,-6.061157,-9.307557,-2.366821,0 days 00:00:08.348308308,0 days 00:00:08.388308308
0 days 00:00:00.050000,0 days 00:00:00.090000,answer3,0.0,0.67183644,0.0,0.0,0.0,-100.0,0.4423882,0.98127794,0.0076279882,0.038548753,0.13143797,0.27637187,0.48301816,0.55389994,0.57894236,0.7816166,0.8393734,0.8479784,1.0140709,1.0473047,1.097191,1.1054085,1.3195368,1.3741747,1.3045243,1.4408077,1.5514822,1.4093784,1.3942212,1.467899,1.195978,1.1305696,1.014225,0.8177293,0.73236436,0.6037223,0.008715925,0.0037143233,416.3086,760.83984,1091.0156,1650.8789,0.084525384,943.1113,4.681813,892963.94,5.012934,53.68326,-0.0020350749,0.79299504,0.004558785,19.487135,-13.556975,-0.82248193,3.329553,0.81072694,-0.027241627,-7.372762,-8.322793,-6.084822,-14.558894,-9.0256815,-0.8874529,-10.753639,-1.9746232,0 days 00:00:08.358308308,0 days 00:00:08.398308308
0 days 00:00:00.060000,0 days 00:00:00.100000,answer3,0.0,0.70012975,0.0,0.0,0.0,-100.0,0.52211785,0.99838924,0.012884292,0.028911566,0.1362729,0.3089615,0.65292954,0.67141557,0.58030427,0.86967546,0.8137691,0.82313085,1.0096309,1.0621501,1.1314144,1.058834,1.3574702,1.4175396,1.3259833,1.491278,1.7083412,1.4244828,1.4094588,1.4766289,1.090718,1.0729295,0.9900055,0.75559855,0.718208,0.60098785,0.07210354,0.0046640886,287.10938,516.7969,660.35156,1062.3047,0.16502139,622.86334,3.6165655,398582.78,8.060816,158.83534,-0.011634187,0.5657107,0.021706888,24.401567,-10.028223,2.2987974,-1.4417629,-4.4730563,-5.1935782,-19.198082,-23.256979,-13.754497,-15.747551,-15.384572,-7.3843093,-16.018759,-1.9062649,0 days 00:00:08.368308308,0 days 00:00:08.408308308
0 days 00:00:00.070000,0 days 00:00:00.110000,answer3,0.0,0.7050262,0.0,0.0,0.0,-100.0,0.5565761,1.0469872,0.017179975,0.024754345,0.1419795,0.3927969,0.9922371,0.9363771,0.74039745,1.0655981,0.8065782,0.8469413,0.990149,1.1038163,1.1932821,1.042135,1.3060488,1.3783331,1.3729906,1.5670234,1.8703915,1.4881874,1.4384904,1.4170723,1.0472851,1.0653149,1.007372,0.72009724,0.6977263,0.59304726,0.09142053,0.004281478,258.39844,272.7539,330.17578,631.6406,0.21979286,396.42456,2.9124727,206403.0,9.686638,200.2282,-0.0147234425,0.39538273,0.033237264,27.952307,-5.0498238,4.7229104,-2.2452147,-11.268678,-10.716522,-21.643923,-34.360233,-11.227413,-13.063483,-19.262138,-9.1201725,-20.314764,-4.8316474,0 days 00:00:08.378308308,0 days 00:00:08.418308308
0 days 00:00:00.080000,0 days 00:00:00.120000,answer3,0.0,0.68614036,0.0,0.0,0.0,-100.0,0.55664694,1.1029896,0.016402243,0.02702192,0.13925396,0.51958495,1.3667353,1.2137266,1.0263186,1.3774185,0.83381987,0.8846728,0.95133686,1.1177434,1.2212021,1.0748543,1.1995083,1.2359651,1.3517565,1.6920656,1.9947985,1.5493876,1.4518253,1.3039947,1.0321659,1.1112534,1.0353541,0.71449846,0.69580907,0.58268017,0.09740586,0.0037072955,258.39844,258.39844,373.2422,488.08594,0.21433838,367.3752,2.8384454,139655.8,11.128636,246.75914,-0.015737208,0.37829766,0.03530054,29.049805,-1.9041754,3.7472432,-5.7493653,-16.389412,-11.936111,-23.566444,-36.140514,-4.819036,-7.2732754,-25.126534,-14.360675,-18.89585,-6.7948546,0 days 00:00:08.388308308,0 days 00:00:08.428308308
0 days 00:00:00.090000,0 days 00:00:00.130000,answer3,0.0,0.6647549,0.0,0.0,0.0,-100.0,0.4913446,1.1186107,0.013027575,0.031934995,0.13546367,0.61795944,1.5541043,1.3283532,1.2607722,1.5814285,0.87210137,0.8953145,0.9066623,1.0875374,1.169012,1.1002237,1.0988587,1.0833784,1.2441417,1.7897044,2.034403,1.5266696,1.3648648,1.1718742,1.0104132,1.1746851,1.061817,0.7246788,0.7090668,0.5803955,0.04102077,0.0025570544,244.04297,258.39844,387.59766,545.5078,0.14586331,384.68594,3.0863914,199466.25,9.994617,183.11488,-0.007442668,0.38852713,0.019562671,27.931269,-0.702723,2.9824154,-0.2961711,-12.831817,-10.759007,-15.319175,-33.454967,-2.2715404,-6.239708,-25.002584,-5.189018,-14.242058,-8.275028,0 days 00:00:08.398308308,0 days 00:00:08.438308308
