start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1,0.0,0.6893564,0.0,0.0,0.0,-100.0,0.46407607,0.98834115,0.017537126,0.09561602,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.033673473,0.00082541635,186.6211,229.6875,330.17578,832.6172,0.075516514,459.20767,2.9073775,1.0282487e+06,14.600598,441.3055,-0.013223041,0.4228661,0.028284997,27.583494,21.629288,-3.2548716,8.68994,-16.30625,-20.470745,-5.5335917,0.10525354,3.4899375,-8.344481,-9.797779,-27.082098,-6.187698,-17.347746,0 days 00:00:07.007007007,0 days 00:00:07.047007007
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1,0.0,0.67031926,0.0,0.0,0.0,-100.0,0.53379065,0.98834115,0.016929323,0.120559335,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.046319146,0.0011399743,200.97656,244.04297,401.95312,2268.164,0.1382658,696.8172,3.2595952,2.2528328e+06,8.760962,225.88924,-0.013425969,0.5912902,0.03126428,20.913744,26.065367,-9.020543,11.857455,-14.761371,-30.782522,-7.750913,-4.0826893,4.2822714,-8.809454,-8.148878,-24.077856,-3.805025,-19.164457,0 days 00:00:07.017007007,0 days 00:00:07.057007007
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1,0.0,0.6502207,0.0,0.0,0.0,-100.0,0.6057287,0.98834115,0.017099202,0.14682539,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.04418451,0.0011367467,244.04297,2239.4531,2426.0742,4249.2188,0.22903442,1960.457,4.0297856,5.1714635e+06,1.8730178,7.844908,-0.011705037,1.4391533,0.030419886,10.604281,34.74485,-13.566909,14.321159,-14.543282,-37.551865,-7.940274,-12.018134,5.509294,-11.314316,-6.785574,-21.133589,0.8945697,-18.75816,0 days 00:00:07.027007007,0 days 00:00:07.067007007
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1,0.0,0.6515286,0.0,0.0,0.0,-100.0,0.64612526,0.98834115,0.01804809,0.15684052,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.048069846,0.00074592227,244.04297,2268.164,4435.84,6172.8516,0.2239347,2671.3308,4.5314164,7.7291335e+06,0.92990446,4.0098023,-0.013563848,1.9194618,0.03553611,6.0018063,42.97853,-6.9342537,13.878868,-14.112142,-37.853794,-8.528228,-11.040164,4.109012,-8.584103,-5.009884,-19.4252,1.4901133,-13.847943,0 days 00:00:07.037007007,0 days 00:00:07.077007007
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1,0.0,0.66126484,0.0,0.0,0.0,-100.0,0.60510546,0.9875482,0.017777858,0.14890401,0.13829418,0.27965486,0.41320196,0.56212515,0.656394,0.7491589,0.78636676,0.87652236,0.9260869,0.96002346,1.0541992,1.0494072,1.1186348,1.2090743,1.2899286,1.404293,1.4317412,1.5084143,1.5420326,1.4916004,1.4452124,1.266888,1.145114,0.9465022,0.7763374,0.64904255,0.028803768,0.00037552425,229.6875,2253.8086,6187.207,6747.0703,0.22227545,3026.833,4.734106,9.199831e+06,0.3514332,1.6457857,-0.010962161,2.1502721,0.0290407,3.2930768,48.472855,-2.1893928,13.2933655,-17.01887,-26.699633,-6.164122,-14.098927,3.4127712,-6.164949,-2.053532,-18.291483,2.616506,-10.930701,0 days 00:00:07.047007007,0 days 00:00:07.087007007
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1,0.0,0.6794925,0.0,0.0,0.0,-100.0,0.5776212,0.97837836,0.016931973,0.13151927,0.15360253,0.29172137,0.3966819,0.5621602,0.62388945,0.6929305,0.7011774,0.8233097,0.8579123,0.859787,0.9655466,0.88282555,0.96244067,1.0878279,1.2352506,1.4787035,1.4891258,1.6142615,1.6514617,1.5605478,1.5269133,1.2556657,1.2243572,0.99549836,0.8174431,0.7267966,0.023969121,0.00038326005,186.6211,258.39844,6029.297,6747.0703,0.16785218,2358.549,4.4583793,8.893027e+06,0.79860204,1.8499951,-0.01072938,1.6991893,0.028341638,4.1376023,48.06212,1.7067012,13.59764,-17.51291,-19.202333,-4.447119,-14.2459135,0.605532,-3.860508,-0.9082003,-17.608301,4.069341,-9.724075,0 days 00:00:07.057007007,0 days 00:00:07.097007007
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1,0.0,0.70358914,0.0,0.0,0.0,-63.944305,0.5640803,0.96899873,0.01595434,0.105442174,0.17278333,0.30948457,0.38063955,0.5505219,0.5866266,0.63676214,0.63249135,0.78083754,0.8197095,0.7623709,0.85833985,0.6920834,0.787086,0.94260544,1.1951417,1.6039649,1.616763,1.7719072,1.761044,1.6471041,1.5895418,1.1989717,1.2860227,1.0195309,0.81211203,0.7795236,0.019619958,0.00041373144,172.26562,215.33203,4105.664,6330.7617,0.14660032,1913.3597,4.1257596,7.3903985e+06,1.0693897,2.3065271,-0.0099129565,1.3806111,0.023558507,4.734955,47.3932,4.3656535,8.339471,-20.21552,-14.370469,2.7396076,-16.852488,2.6194012,-5.3446803,-0.44550863,-19.183435,3.9926288,-12.472714,0 days 00:00:07.067007007,0 days 00:00:07.107007007
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1,189.09189,0.7334295,0.0,0.0,0.26063055,-28.41302,0.5751575,0.962853,0.015976831,0.07804233,0.18133111,0.32038176,0.37433532,0.53447175,0.5724202,0.61813974,0.6657503,0.80165285,0.8442712,0.7497933,0.7923936,0.5927046,0.7066994,0.8571517,1.2037107,1.708031,1.7981733,1.9364605,1.7897768,1.6723808,1.5705914,1.089818,1.2409638,0.96216345,0.72218746,0.72842497,0.027728105,0.00048543917,172.26562,215.33203,2325.586,4335.3516,0.1311417,1439.6154,3.8310096,5.3042585e+06,2.0388844,7.340177,-0.0109260455,1.0642853,0.027069112,6.8228965,44.8564,7.4886017,1.7897762,-22.006697,-16.484468,4.061579,-15.623872,3.1570215,-6.304728,-4.3477073,-18.74563,2.3729675,-12.848037,0 days 00:00:07.077007007,0 days 00:00:07.117007007
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1,187.40947,0.75738734,0.084670305,0.0,0.23178406,7.5699615,0.5811264,0.9792889,0.017893128,0.053476945,0.18422265,0.33022818,0.38570666,0.56464314,0.5972567,0.6833706,0.7903919,0.84726936,0.8814805,0.74376535,0.76716834,0.5465008,0.6954763,0.86399037,1.2551261,1.8233446,1.9926256,2.1929235,1.8839833,1.6695962,1.562097,1.0224912,1.1395558,0.8453078,0.5851187,0.6078693,0.047866013,0.0007808392,172.26562,215.33203,502.4414,2325.586,0.13918804,875.69214,3.449628,2.7986832e+06,4.4687743,32.88469,-0.014633839,0.69200164,0.038985685,10.44775,42.18349,15.517076,-5.361485,-28.051468,-18.464884,2.8484955,-13.123364,6.5213814,-5.4869065,-4.656301,-15.6893015,-3.9389002,-11.671104,0 days 00:00:07.087007007,0 days 00:00:07.127007007
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1,183.7501,0.77109736,0.06594076,0.051303606,0.18933743,9.969974,0.6096397,1.0143437,0.022349456,0.036470145,0.18606241,0.34167635,0.40558395,0.6564452,0.66902524,0.83008295,0.9646065,0.9043184,0.8808057,0.74202704,0.7689779,0.5247398,0.718781,0.93569976,1.3400764,1.9730784,2.1829364,2.5397725,2.1011019,1.6291142,1.5338696,0.96405643,0.9748039,0.6801961,0.44923937,0.47585985,0.0910987,0.0012832234,172.26562,258.39844,387.59766,516.7969,0.13616458,444.50742,3.0677369,813509.25,7.8655205,95.87321,-0.02304913,0.41715217,0.06932872,15.975999,36.300674,22.783401,-9.217846,-33.481224,-19.343863,-3.4626977,-9.069699,4.876288,-1.0164417,-3.6826706,-12.732136,-7.456745,-9.542967,0 days 00:00:07.097007007,0 days 00:00:07.137007007
