start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1 ,217.6956,0.784779,0.0,0.0,0.2553717,12.564326,1.0205485,0.98834115,0.023662388,0.06575964,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.04188758,0.033368737,215.33203,488.08594,1335.0586,4177.4414,0.06070978,1160.7025,3.967348,2.0893889e+06,1.7965647,6.690277,-0.023056194,0.84835225,0.0808981,23.460714,-10.903065,5.326004,-18.576395,22.071917,-10.2822695,-25.697123,10.064299,-21.845886,8.532844,-19.491438,-38.58612,10.938724,-37.25538,0 days 00:00:12.812812813,0 days 00:00:12.852812813
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1 ,220.55664,0.7886037,0.012503239,0.0,0.20478629,11.996808,1.0356321,0.98834115,0.024550818,0.05990174,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.047862444,0.032393422,215.33203,373.2422,1205.8594,4177.4414,0.11159381,1069.8959,3.8195636,1.9506321e+06,1.9355227,7.206768,-0.02574604,0.79042464,0.08560882,23.01647,-10.958781,6.8352146,-18.804132,22.877783,-7.330545,-24.212446,11.250878,-24.168264,4.9735255,-25.749075,-37.46132,8.438037,-34.794735,0 days 00:00:12.822812813,0 days 00:00:12.862812813
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1 ,224.82263,0.7877641,0.009047103,0.019758735,0.17004593,11.188324,1.0680374,0.98834115,0.025378635,0.051587302,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.05797435,0.0385306,215.33203,258.39844,1076.6602,3316.1133,0.1556681,925.644,3.7457616,1.5736726e+06,2.3040407,9.6555395,-0.02986396,0.71099395,0.09232283,22.866798,-11.709874,4.990835,-18.710054,23.633463,-6.055218,-24.157248,7.8781486,-26.478071,0.39116707,-33.988308,-36.66,7.7982044,-33.16423,0 days 00:00:12.832812813,0 days 00:00:12.872812813
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1 ,229.0573,0.78271705,0.008825742,0.013384801,0.12190107,10.386439,1.0320679,0.98834115,0.026078777,0.04270597,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.07021928,0.036396757,215.33203,258.39844,933.10547,2368.6523,0.15491612,791.1411,3.569566,1.186819e+06,3.2452118,23.27756,-0.030378575,0.6344347,0.08723053,23.908113,-11.410169,5.517313,-15.765884,24.490257,-6.6112266,-19.657572,5.3833504,-23.443995,-3.8344944,-35.32497,-32.47374,6.1247125,-28.379606,0 days 00:00:12.842812813,0 days 00:00:12.882812813
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1 ,233.65076,0.7831719,0.00882525,0.011696592,0.14388433,10.528638,1.022955,0.98264915,0.026969263,0.036659107,0.13228153,0.27095655,0.42741308,0.5700438,0.68362665,0.7565303,0.8198722,0.9138465,0.9832664,1.0454239,1.1089954,1.1623588,1.2461855,1.3077456,1.317523,1.3373,1.4070932,1.435387,1.4668301,1.3487525,1.2805034,1.2649295,1.0618373,0.8930426,0.72985584,0.5772768,0.09373043,0.042089373,215.33203,258.39844,732.1289,1435.5469,0.15409556,638.18555,3.429303,731176.2,4.1710916,36.593243,-0.033525452,0.5485973,0.08765011,25.476913,-11.689362,4.2888584,-11.834863,23.509996,-10.57109,-25.037348,-0.48707625,-21.237679,-7.175547,-30.663874,-25.50503,5.378929,-29.440475,0 days 00:00:12.852812813,0 days 00:00:12.892812813
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1 ,238.41547,0.79246634,0.00973354,0.008460473,0.10508674,10.801499,0.9945119,0.974315,0.028599307,0.032123964,0.13095284,0.27087042,0.44563237,0.6097636,0.71185654,0.73383087,0.7664461,0.897933,1.0003344,1.0580636,1.1500854,1.1519362,1.2911206,1.4087652,1.3160363,1.2649918,1.3871938,1.4219753,1.4767596,1.2015284,1.1391622,1.2895136,1.0361266,0.89222234,0.7283609,0.5507266,0.12120718,0.04050076,215.33203,258.39844,473.73047,1306.3477,0.17003308,523.1523,3.117035,466887.5,4.861031,48.490723,-0.03687185,0.474979,0.08889886,26.224546,-12.607242,4.9284463,-8.582642,21.786325,-10.61504,-26.567984,-4.6176624,-24.343,-14.791141,-28.11173,-22.09317,-0.11665487,-28.861206,0 days 00:00:12.862812813,0 days 00:00:12.902812813
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1 ,243.49992,0.8015081,0.01447524,0.010472217,0.10707563,12.227374,1.0264848,0.96558136,0.030317748,0.030423282,0.12924188,0.26999855,0.47275218,0.67368525,0.73288375,0.7058379,0.7033697,0.885492,1.0673085,1.0942708,1.2176721,1.103532,1.35005,1.5631666,1.3272042,1.1580447,1.3331128,1.4313184,1.5142698,1.0154523,0.9476779,1.28592,0.9966367,0.88079983,0.7254502,0.51996714,0.14747821,0.056660026,229.6875,258.39844,574.21875,1263.2812,0.17319925,535.43774,3.1259155,391509.16,4.409447,47.234478,-0.0426916,0.49274316,0.10565623,27.460367,-13.891774,1.5018629,-8.983647,22.307306,-7.3744235,-28.811838,-6.882952,-28.103394,-22.564585,-25.164042,-17.405,-3.2629337,-28.939888,0 days 00:00:12.872812813,0 days 00:00:12.912812813
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1 ,248.82912,0.80652267,0.00875931,0.007385438,0.061653618,12.694962,1.0471128,0.96685094,0.031916652,0.027966743,0.11750603,0.26817977,0.49812666,0.7428525,0.7256324,0.6901271,0.67400545,0.9225828,1.2194103,1.1560191,1.2880559,1.0324403,1.3636681,1.6844335,1.3499703,1.0561117,1.2540933,1.4746608,1.5670385,0.915693,0.83024853,1.2227359,0.96424866,0.87266946,0.7304396,0.51717347,0.17805152,0.06145264,244.04297,258.39844,660.35156,1134.082,0.19034618,523.03265,3.0645742,329238.75,4.5355206,49.568527,-0.04815307,0.490339,0.12385271,27.435324,-13.725673,-2.4702225,-12.704842,20.136166,-4.0422916,-28.312353,-7.5581155,-35.34415,-30.846888,-26.588758,-19.995895,-6.288813,-26.63202,0 days 00:00:12.882812813,0 days 00:00:12.922812813
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1 ,253.9355,0.8094588,0.011232998,0.005954213,0.06636855,14.600159,1.0490817,0.9712667,0.03210219,0.02626606,0.10803776,0.26084915,0.51499915,0.8070984,0.697321,0.70327616,0.69668514,1.0413054,1.3971448,1.2247878,1.2738327,0.9547856,1.3253013,1.7301388,1.3805918,0.98932934,1.1455642,1.4966044,1.6275235,0.87225,0.76603127,1.1509804,0.94961673,0.86177856,0.735147,0.5419536,0.19606371,0.062423673,258.39844,258.39844,803.90625,1076.6602,0.18538149,519.3438,3.1117392,281072.88,4.8030205,59.516724,-0.049438953,0.49505293,0.13395412,28.849943,-12.105709,-4.875623,-14.330666,15.522967,-3.976363,-26.398811,-3.37911,-37.125446,-31.673914,-23.03082,-16.25696,-6.1320596,-23.123777,0 days 00:00:12.892812813,0 days 00:00:12.932812813
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1 ,258.16306,0.8126788,0.009366091,0.0053876583,0.06176062,14.550338,1.0219587,0.9742506,0.031061938,0.024943313,0.102746725,0.24676323,0.5173374,0.8556494,0.69578546,0.7673673,0.7468708,1.2302111,1.4955201,1.2601097,1.1509356,0.90453345,1.233101,1.7024326,1.4004556,0.96902347,1.0628039,1.4512132,1.6152736,0.8650002,0.7614644,1.120028,0.9602323,0.86731476,0.75359124,0.59475416,0.19325082,0.045561384,258.39844,272.7539,746.4844,1019.2383,0.17159754,509.7042,3.1073463,279519.28,5.394699,63.997906,-0.045715585,0.49149176,0.1305597,28.069504,-9.147347,-5.938576,-16.633394,9.299314,-7.2008767,-19.800062,-0.27266446,-39.40044,-27.341204,-26.609484,-16.017443,-1.9871116,-21.942757,0 days 00:00:12.902812813,0 days 00:00:12.942812813
