start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer2 ,0.0,0.65488,0.0,0.0,0.0,-100.0,0.25295517,0.98834115,0.0034128192,0.029289493,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0011079535,0.00054380554,157.91016,244.04297,660.35156,1134.082,0.011699386,501.04153,4.390785,477625.78,7.2585588,94.52158,-0.0005213926,0.46909365,0.0009735068,26.296179,1.6903186,-3.8420289,-0.649646,11.508136,-1.085086,1.5362372,-0.83158374,4.178419,11.79591,-1.125405,-4.3782806,-4.864917,-5.3181877,0 days 00:00:10.443777110,0 days 00:00:10.483777110
0 days 00:00:00.010000,0 days 00:00:00.050000,answer2 ,0.0,0.6499383,0.0,0.0,0.0,-100.0,0.24254823,0.98834115,0.003460218,0.034202572,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0010642799,0.00042027514,143.55469,215.33203,559.8633,961.8164,0.024003869,448.99243,4.0440598,463035.75,7.9356537,105.80979,-0.0005506052,0.42041776,0.0010286078,25.169714,3.553523,2.0912416,0.71483773,6.036715,0.8839151,2.7345016,1.8831091,7.027149,10.790257,-2.6572716,-4.6001725,-6.7337036,-6.0000095,0 days 00:00:10.453777110,0 days 00:00:10.493777110
0 days 00:00:00.020000,0 days 00:00:00.060000,answer2 ,0.0,0.64366895,0.0,0.0,0.0,-100.0,0.24381451,0.98834115,0.003397435,0.040816326,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0014131684,0.00035123512,157.91016,315.8203,559.8633,890.03906,0.03778309,468.84946,3.9574745,469063.4,8.045204,107.04545,-0.00054490427,0.44188595,0.0011012288,24.212702,3.4722347,3.304742,-0.87470245,2.0006282,-0.7423913,3.360998,1.6662058,11.934329,10.788814,-2.1380336,-3.8475113,-6.898373,-5.819529,0 days 00:00:10.463777110,0 days 00:00:10.503777110
0 days 00:00:00.030000,0 days 00:00:00.070000,answer2 ,0.0,0.6473945,0.0,0.0,0.0,-100.0,0.25069138,0.98834115,0.0033321038,0.0462963,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0019117123,0.00028211993,215.33203,430.66406,516.7969,861.3281,0.034401417,494.72696,3.9707696,444983.0,8.296466,110.3052,-0.0005736542,0.4733968,0.0011999654,23.731766,4.083282,2.0869179,-5.474938,0.9738202,-1.8799471,1.8122007,5.94183,13.3635,5.567539,-3.4906013,-5.5202003,-9.054058,-5.621992,0 days 00:00:10.473777110,0 days 00:00:10.513777110
0 days 00:00:00.040000,0 days 00:00:00.080000,answer2 ,0.0,0.6432181,0.0,0.0,0.0,-100.0,0.27060112,1.0025908,0.0032895862,0.04818594,0.12606283,0.25732315,0.42720917,0.5740975,0.66416407,0.7977298,0.8821995,0.90934825,1.0265676,1.0403334,1.1179057,1.1463729,1.2766619,1.3518215,1.3217444,1.3573928,1.4200212,1.4211916,1.5039252,1.480606,1.3743588,1.2597245,1.0901397,0.9162417,0.7343714,0.58984476,0.0023047018,0.00045291704,272.7539,559.8633,617.28516,1205.8594,0.031561904,607.3901,4.3110723,507026.84,6.8422217,82.8584,-0.000534126,0.5715673,0.001204075,23.356903,0.042048056,-2.5004044,-6.6060452,2.4761846,-10.73964,3.2113283,5.3046336,9.058732,2.4400957,1.6956006,-1.4117728,-8.1098175,-7.7778573,0 days 00:00:10.483777110,0 days 00:00:10.523777110
0 days 00:00:00.050000,0 days 00:00:00.090000,answer2 ,0.0,0.6407477,0.0,0.0,0.0,-100.0,0.27426016,1.0338748,0.003272645,0.04516251,0.119453676,0.23251128,0.42582214,0.59442925,0.6768632,0.8464072,0.9123607,0.91300386,1.117881,1.1031939,1.1634239,1.147676,1.3895711,1.5157557,1.3462955,1.3714867,1.4447898,1.3531841,1.5338358,1.5309464,1.4161501,1.3257993,1.1303505,0.9421603,0.741821,0.58557135,0.002207023,0.00052932516,272.7539,545.5078,617.28516,1291.9922,0.026135063,630.6267,4.385197,550953.06,6.3942847,72.05927,-0.00051515334,0.58784574,0.0011116371,22.717653,-1.2914284,-3.2206228,-5.1793313,0.90560514,-10.960753,5.013936,4.267951,4.7502723,6.647528,2.899513,1.6020683,-7.1048675,-10.261476,0 days 00:00:10.493777110,0 days 00:00:10.533777110
0 days 00:00:00.060000,0 days 00:00:00.100000,answer2 ,0.0,0.64407825,0.0,0.0,0.0,-100.0,0.26290464,1.0621697,0.003109269,0.040627364,0.112244375,0.20745258,0.42402837,0.60095954,0.69884557,0.8388936,0.9031684,0.91120386,1.2118286,1.184338,1.1716838,1.1538372,1.5079786,1.6594405,1.3997412,1.4618095,1.4542114,1.2595378,1.5534402,1.5705217,1.4686495,1.4009465,1.1583737,0.95725733,0.7603962,0.585624,0.0017129224,0.00053018396,215.33203,459.375,660.35156,1421.1914,0.031212294,627.4224,4.5373273,668860.44,5.8516273,61.690495,-0.00043862363,0.5688856,0.00087119936,22.096415,-1.1150256,-1.3885723,-1.6238341,1.9413797,-10.356998,4.998501,-0.27987155,-0.7902648,7.945394,3.2554073,1.1476703,-0.18598588,-7.0564423,0 days 00:00:10.503777110,0 days 00:00:10.543777110
0 days 00:00:00.070000,0 days 00:00:00.110000,answer2 ,0.0,0.6494663,0.0,0.0,0.0,-100.0,0.24809259,1.0637287,0.0030664392,0.037792895,0.10771078,0.2023334,0.42450127,0.5830293,0.74252576,0.7538256,0.8125567,0.88331085,1.237323,1.2618346,1.1256999,1.1782228,1.521871,1.643315,1.452484,1.602809,1.4683117,1.200325,1.5364388,1.5292789,1.5090308,1.4174503,1.146053,0.9366483,0.7865065,0.59354943,0.0014143623,0.00041999252,172.26562,358.88672,631.6406,1234.5703,0.03131365,582.30597,4.469589,720290.75,6.1653876,63.05751,-0.00038028313,0.5266749,0.00075102615,21.568491,0.7483426,1.1759597,-0.88364315,1.9266486,-4.20193,0.4629275,-5.3257327,-2.5520892,8.945256,0.24299555,0.72281915,0.0911603,-6.039846,0 days 00:00:10.513777110,0 days 00:00:10.553777110
0 days 00:00:00.080000,0 days 00:00:00.120000,answer2 ,0.0,0.6431098,0.0,0.0,0.0,-100.0,0.2413389,1.0396324,0.003311529,0.037792895,0.107821904,0.22261143,0.44355989,0.54568464,0.7441887,0.6245532,0.7047794,0.8516273,1.2018517,1.2604432,1.0292691,1.197976,1.3861986,1.4566779,1.4689854,1.7212224,1.4554058,1.2132536,1.5591892,1.4734617,1.5346032,1.3812708,1.1203932,0.9047995,0.8149528,0.60566384,0.0009310261,0.00037134462,157.91016,244.04297,545.5078,1177.1484,0.035427902,521.58606,4.1505957,733472.06,6.29228,63.77641,-0.0004033146,0.46572015,0.0008237832,20.96612,2.5226796,3.9804935,-0.21093406,6.6134915,0.8961415,4.1851177,-6.2487564,-5.401015,3.7820256,-1.9085256,-5.1715655,-2.3145845,-3.8296432,0 days 00:00:10.523777110,0 days 00:00:10.563777110
0 days 00:00:00.090000,0 days 00:00:00.130000,answer2 ,0.0,0.6466406,0.0,0.0,0.0,-100.0,0.2743101,1.0404716,0.0037913502,0.038737718,0.11329967,0.27060053,0.48843393,0.51993424,0.733125,0.55036336,0.63164204,0.8058112,1.1486968,1.2259196,0.98922604,1.2616327,1.2542464,1.306552,1.4964598,1.7959782,1.5070108,1.3089262,1.6949482,1.4894686,1.5837693,1.3475736,1.1330315,0.9177222,0.84488726,0.6330021,0.0013859812,0.0005926714,157.91016,200.97656,387.59766,1091.0156,0.037755404,467.7545,3.8600876,743184.7,6.7317924,68.513756,-0.00075277005,0.41870508,0.0012220267,20.47236,3.405058,8.8263035,3.6096866,6.3982735,1.622736,-2.0104954,-5.695444,0.45990086,7.0855803,-1.1313012,-7.3419876,-7.049263,-8.614692,0 days 00:00:10.533777110,0 days 00:00:10.573777110
