start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer2 ,0.0,0.67291945,0.0,0.0,0.0,-100.0,0.18512495,0.98834115,0.004341208,0.04346183,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0005249995,6.663717e-05,143.55469,172.26562,186.6211,215.33203,0.013796815,263.953,2.0083191,569173.25,9.071725,92.184166,-0.0010779804,0.24738078,0.001963746,14.172643,25.763372,12.252065,15.810176,11.155887,21.650032,11.211449,-3.1693008,-14.640826,2.4052374,-11.193897,-18.359415,-11.197079,0.55253917,0 days 00:00:14.147480814,0 days 00:00:14.187480814
0 days 00:00:00.010000,0 days 00:00:00.050000,answer2 ,0.0,0.67289716,0.0,0.0,0.0,-100.0,0.17549412,0.98834115,0.0037540281,0.062736206,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0005022472,5.550585e-05,143.55469,172.26562,215.33203,416.3086,0.03582995,375.24417,2.5917556,1.1758941e+06,7.500145,69.490456,-0.0007796849,0.3257423,0.0013811397,13.646762,24.812256,8.555692,12.829867,11.318416,17.607555,7.6739407,-1.8287826,-10.518607,-1.1256928,-13.470487,-10.820065,-8.2485485,-1.8934716,0 days 00:00:14.157480814,0 days 00:00:14.197480814
0 days 00:00:00.020000,0 days 00:00:00.060000,answer2 ,0.0,0.6545548,0.0,0.0,0.0,-100.0,0.16295175,0.98834115,0.002889782,0.10241874,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00043842496,4.6620913e-05,129.19922,157.91016,215.33203,473.73047,0.040283125,445.72324,2.9972737,1.6741154e+06,6.1512284,49.001953,-0.0004922045,0.3709743,0.0007462154,12.809364,22.690119,6.304647,13.51072,11.638917,16.138702,3.5547822,-1.7009622,-6.0038857,-2.4056795,-9.867101,-4.634646,-5.2185235,-3.2694848,0 days 00:00:14.167480814,0 days 00:00:14.207480814
0 days 00:00:00.030000,0 days 00:00:00.070000,answer2 ,0.0,0.63033813,0.0,0.0,0.0,-100.0,0.15586479,0.98834115,0.002687837,0.14002268,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0002376762,4.4928678e-05,157.91016,3143.8477,3703.711,4306.6406,0.041850105,2653.244,4.5451226,9.285259e+06,2.8764064,17.459473,-0.00018107482,1.9849434,0.00024010423,11.214625,20.453003,5.357948,12.305699,8.354151,14.910061,5.464442,0.021106392,-8.318618,1.6221954,-7.044842,-3.4280283,-1.8016635,2.6285245,0 days 00:00:14.177480814,0 days 00:00:14.217480814
0 days 00:00:00.040000,0 days 00:00:00.080000,answer2 ,0.0,0.60972506,0.0,0.0,0.0,-100.0,0.15997851,0.9894424,0.0031512596,0.1626984,0.12809809,0.25858042,0.40561175,0.55720454,0.667217,0.757997,0.8483572,0.90004414,0.9964282,1.0327696,1.0833775,1.1636165,1.2082666,1.293362,1.4401025,1.3968924,1.413125,1.426897,1.4521049,1.4020115,1.368446,1.2319316,1.0615727,0.89219356,0.7400229,0.5992692,0.00029317543,5.4159278e-05,229.6875,6273.34,7163.379,7952.9297,0.03165758,4954.836,5.415119,1.5527451e+07,1.1922069,10.741248,-0.00021145977,3.6795757,0.00079710345,11.236424,19.76808,5.7710357,16.943846,5.054831,13.26139,8.438264,-1.054059,-14.046033,1.1814054,-2.5391133,-4.376859,-5.519346,3.2905674,0 days 00:00:14.187480814,0 days 00:00:14.227480814
0 days 00:00:00.050000,0 days 00:00:00.090000,answer2 ,0.0,0.60155565,0.0,0.0,0.0,-100.0,0.16391297,0.9950352,0.003847075,0.16723357,0.123425566,0.2545412,0.41019878,0.5707999,0.67756796,0.74052095,0.8589116,0.85630536,1.0294324,1.030104,1.0359696,1.140995,1.201508,1.3722849,1.7034473,1.4374453,1.3719441,1.4045733,1.4420244,1.3419815,1.3690538,1.2232159,1.035781,0.8937103,0.74295455,0.60221624,0.00038781713,5.929019e-05,258.39844,6302.051,9933.984,11498.73,0.046050116,5780.5825,5.6952686,2.1758368e+07,-0.064130746,1.9711562,-0.0002790671,4.294975,0.001123025,12.379101,20.099167,6.917462,16.889696,1.2026123,7.9826202,10.204959,-1.7978821,-23.31817,-5.640711,-2.7426252,-4.8809743,-11.090123,-0.06964207,0 days 00:00:14.197480814,0 days 00:00:14.237480814
0 days 00:00:00.060000,0 days 00:00:00.100000,answer2 ,0.0,0.58226377,0.0,0.0,0.0,-100.0,0.174281,1.0120524,0.0048386795,0.16250946,0.11660617,0.27047667,0.44269285,0.6032467,0.7287069,0.71953577,0.8879032,0.81861526,1.0829304,1.0109104,0.94200563,1.0932245,1.2168173,1.4815835,1.9948736,1.443977,1.3080783,1.3909645,1.4404559,1.3070172,1.4155946,1.2809541,1.0413228,0.92314225,0.7394412,0.61228263,0.0004647891,5.5809578e-05,229.6875,3316.1133,6445.6055,10493.848,0.04250228,3964.134,4.5649595,1.743675e+07,0.8779125,3.696043,-0.0004602309,2.9647465,0.0015185191,12.386682,24.065674,9.118241,15.284957,4.160832,2.8592126,11.125199,-0.99325323,-24.466454,-11.078336,-4.667079,-0.08141915,-10.522956,-2.7688987,0 days 00:00:14.207480814,0 days 00:00:14.247480814
0 days 00:00:00.070000,0 days 00:00:00.110000,answer2 ,0.0,0.57910675,0.0,0.0,0.0,-100.0,0.27154544,1.0958133,0.005750422,0.15570672,0.112824894,0.32583746,0.5044391,0.643164,0.7843496,0.6934971,0.86379474,0.7942981,1.1271282,0.9763227,0.8351695,1.047946,1.3025321,1.6201468,2.1972778,1.472806,1.3333391,1.5211716,1.5826827,1.5331486,1.7061485,1.6179439,1.2627001,1.1269838,0.8058429,0.69964653,0.00047613404,0.00028883398,1650.8789,2095.8984,5498.1445,9618.164,0.077867724,3402.0625,4.7981987,1.3492109e+07,1.0343815,4.028608,-0.0010397267,2.4691887,0.0025312426,2.51441,30.190529,15.167679,14.712104,10.331131,0.06898093,11.566594,-1.5773349,-28.158203,-15.991254,-7.8134804,2.2661917,-7.173397,-3.1685073,0 days 00:00:14.217480814,0 days 00:00:14.257480814
0 days 00:00:00.080000,0 days 00:00:00.120000,answer2 ,0.0,0.5943324,0.0,0.0,0.0,-100.0,0.3136619,1.2658263,0.0060450006,0.14134543,0.1160562,0.3755419,0.5400031,0.6674239,0.8075485,0.6741798,0.80193216,0.78991365,1.1041193,0.90885776,0.75531894,1.0252107,1.3984579,1.6940541,2.163297,1.5134424,1.4793454,1.7846583,1.9225267,2.1572764,2.3530588,2.4012063,1.8869041,1.6343371,1.0187968,0.93801445,0.0004235435,0.000308905,2153.3203,3919.043,5196.6797,9115.723,0.09505615,4215.3833,5.6136208,1.0699851e+07,0.5971178,3.9945946,-0.0010931258,2.9967415,0.0029923862,-5.2958384,37.915813,14.126872,12.640233,15.627663,-1.0964528,11.9105,0.33550632,-19.18081,-12.461837,-8.71624,2.8962343,-5.5147214,-0.8890303,0 days 00:00:14.227480814,0 days 00:00:14.267480814
0 days 00:00:00.090000,0 days 00:00:00.130000,answer2 ,0.0,0.6301275,0.0,0.0,0.0,-100.0,0.3568878,1.5320978,0.005718974,0.11810279,0.12707359,0.4037803,0.54706717,0.68476623,0.7702475,0.677762,0.73182535,0.77208024,1.0286862,0.8360651,0.72739273,1.0352179,1.4559122,1.7383887,2.0609882,1.7043324,1.7692623,2.113882,2.478885,3.266093,3.2856853,3.5009232,2.903033,2.4721093,1.41198,1.3311057,0.00068246044,0.00049171475,2153.3203,3933.3984,6459.961,8441.016,0.10710985,4396.0054,6.029057,1.0039551e+07,0.2757548,3.019204,-0.0012405226,3.093036,0.003156346,-10.167319,40.47661,18.19119,11.783343,13.093869,-0.59310037,12.145757,0.5777199,-19.743164,-10.457359,-6.489691,-6.734861,-3.5609627,-1.2776709,0 days 00:00:14.237480814,0 days 00:00:14.277480814
