start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1ges,209.09192,0.8496739,0.0,0.0,0.016522909,21.690445,2.3194592,0.98834115,0.09318661,0.047619045,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.1870039,2.4799888,1019.2383,1033.5938,1134.082,1435.5469,0.13229011,1047.8296,3.3327656,149991.36,2.8536966,45.03276,-0.38796246,0.9415452,1.7809523,28.603363,-32.910614,-11.205686,-25.305178,17.9983,14.19053,-20.10824,-16.449017,-5.052521,-8.202377,-24.627792,-5.2965255,-27.17598,-18.903297,0 days 00:00:03.603603604,0 days 00:00:03.643603604
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1ges,209.51312,0.8481085,0.0025396594,0.0,0.034000833,20.266924,2.2864285,0.98834115,0.0860388,0.047619045,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.19666535,2.04128,947.46094,1033.5938,1205.8594,1464.2578,0.24344611,1049.0101,3.6078832,177594.69,2.4033291,35.519474,-0.33493173,0.9365905,1.507008,29.142569,-33.411053,-9.708521,-23.640696,17.979948,10.068493,-18.387552,-10.745202,-4.1890473,-6.0968227,-27.884398,-4.964869,-24.30783,-19.18398,0 days 00:00:03.613603604,0 days 00:00:03.653603604
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1ges,210.33379,0.8388171,0.002200554,0.0024290239,0.054444015,19.054663,2.1526027,0.98834115,0.0757732,0.045918364,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.21994449,1.3966144,818.2617,1019.2383,1205.8594,1492.9688,0.3721192,1007.2609,3.873133,206596.62,2.169148,32.13975,-0.26053393,0.90124804,1.1210554,29.970327,-32.115414,-10.400029,-20.582678,14.893384,4.6493583,-16.409052,-2.8800294,-4.264299,-6.453753,-32.956135,-4.0761933,-23.55934,-21.647692,0 days 00:00:03.623603604,0 days 00:00:03.663603604
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1ges,211.1227,0.8261923,0.0020538568,0.0020075883,0.059568822,17.52519,1.8931932,0.98834115,0.06688475,0.041572183,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.25021872,0.7956552,574.21875,890.03906,1019.2383,1421.1914,0.42872512,880.75946,3.8554173,218615.27,2.3766754,33.31455,-0.19606118,0.80296254,0.805908,31.62594,-26.18191,-10.376801,-16.725395,8.331267,-0.8439701,-13.190254,2.2194993,-1.1619524,-9.312246,-31.951975,-4.4967427,-21.852163,-25.831009,0 days 00:00:03.633603604,0 days 00:00:03.673603604
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1ges,211.42242,0.8107329,0.0030732155,0.0026737377,0.07802213,14.268796,1.588923,0.9440449,0.059265297,0.035525322,0.12981845,0.27828676,0.43253788,0.5676992,0.6855654,0.76822925,0.8577311,0.8855903,0.902339,0.94973844,1.025307,1.0320548,1.1814505,1.2509904,1.2570634,1.273189,1.3331221,1.3087888,1.3356391,1.3497385,1.2614204,1.1770474,1.0585786,0.90998834,0.74701095,0.58623886,0.27732816,0.35430455,373.2422,689.0625,803.90625,1205.8594,0.42830464,700.0972,3.6520722,192889.5,3.3308022,57.712383,-0.14987673,0.6624265,0.57246375,33.404957,-18.307344,-12.296996,-13.769328,1.509128,-8.256976,-10.403512,1.9668226,-2.5977333,-15.17122,-30.415487,-7.618406,-24.56765,-28.770721,0 days 00:00:03.643603604,0 days 00:00:03.683603604
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1ges,211.26111,0.7996607,0.0038362227,0.003396646,0.06755094,12.265956,1.3459982,0.86111945,0.051458556,0.032690853,0.12376838,0.2905457,0.46298417,0.5978121,0.7040656,0.7521135,0.84901476,0.83967704,0.77716184,0.80189484,0.9106925,0.8136451,1.0750177,1.1802546,1.0947207,1.0762572,1.1528881,1.0861355,1.1354969,1.1936494,1.0948977,1.0775388,1.030608,0.93938845,0.7671824,0.56169134,0.27626482,0.12341241,229.6875,445.01953,660.35156,1047.9492,0.39759532,555.32404,3.480089,166092.81,3.6722546,60.96842,-0.11850837,0.54437596,0.40515324,34.92279,-11.710217,-13.935679,-15.265378,0.98782665,-11.112603,-11.48151,-3.3647907,-5.183533,-23.78041,-28.63888,-10.611555,-26.096899,-30.906418,0 days 00:00:03.653603604,0 days 00:00:03.693603604
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1ges,210.66005,0.7955025,0.0052859243,0.0036391008,0.11069769,10.091722,1.1455336,0.7494352,0.041987028,0.037414964,0.11646017,0.29958618,0.49184486,0.62878996,0.7054065,0.68597704,0.78519684,0.79483366,0.62644845,0.61624855,0.78176874,0.55013806,0.89690834,1.0702364,0.88783914,0.8216226,0.9068377,0.8229993,0.8975794,0.9942457,0.8963775,0.94098186,0.9638667,0.9782918,0.79132503,0.5335029,0.20333748,0.062072802,215.33203,330.17578,703.41797,976.1719,0.34118304,513.51825,3.4736316,175689.2,4.70227,80.56713,-0.084364526,0.50731826,0.27627483,34.32566,-8.198371,-15.375625,-12.667434,3.0182693,-6.514733,-11.623477,-2.8877294,-12.638865,-27.78969,-25.59961,-9.673124,-25.765854,-25.258438,0 days 00:00:03.663603604,0 days 00:00:03.703603604
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1ges,210.24786,0.7954678,0.0051493407,0.0045474297,0.12960123,10.009404,0.9765482,0.66130424,0.03091492,0.048752833,0.10403421,0.28403315,0.4784232,0.6119325,0.6340142,0.58229953,0.66509223,0.790129,0.5455424,0.5020505,0.71615076,0.3963232,0.69406223,0.9554476,0.73077935,0.6395704,0.7121668,0.68156034,0.7645235,0.8688815,0.79106337,0.8239793,0.8840371,1.0037065,0.80121064,0.5328944,0.11644677,0.04341833,330.17578,401.95312,775.1953,1047.9492,0.31033787,590.51044,3.609525,303779.0,6.072211,83.391945,-0.050606564,0.57421106,0.15918002,30.90592,-7.7450604,-18.35819,-13.323611,2.6294353,1.2898602,-10.71387,1.0798336,-16.834854,-28.065142,-24.992254,-12.40466,-24.462606,-23.953009,0 days 00:00:03.673603604,0 days 00:00:03.713603604
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1ges,209.85735,0.79645705,0.0041946303,0.004446372,0.18540989,9.207818,0.8048355,0.59782034,0.020969981,0.06708238,0.0984205,0.2392239,0.40293083,0.52759415,0.5168048,0.46348658,0.52407193,0.78012425,0.49853268,0.4306071,0.66236633,0.3318099,0.52973956,0.86354566,0.66055363,0.5533491,0.6096635,0.608853,0.701561,0.8250394,0.7542102,0.7182126,0.8134151,1.0316557,0.80062866,0.5969291,0.03390637,0.020257156,473.73047,602.9297,904.39453,1148.4375,0.27500126,784.5037,3.9280987,889614.7,6.6485934,77.08532,-0.019702667,0.7283041,0.07694637,26.059683,-7.880691,-19.041273,-6.907749,1.5196209,8.731982,-5.2487626,7.4041476,-15.664177,-18.434874,-18.0371,-10.37052,-16.875603,-15.539829,0 days 00:00:03.683603604,0 days 00:00:03.723603604
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1ges,209.35023,0.7744737,0.0026051004,0.004116207,0.16116832,8.761078,0.69331616,0.5568213,0.01387535,0.09221467,0.0930045,0.17961581,0.29715756,0.4127879,0.40028736,0.3633336,0.40299603,0.7286298,0.4582754,0.38395944,0.5944621,0.3199928,0.42361116,0.783901,0.65956813,0.5318515,0.5802874,0.56082684,0.67066735,0.83583546,0.751273,0.62944067,0.79374367,1.0862058,0.8067344,0.7289044,0.015779195,0.01397638,617.28516,789.5508,990.52734,1392.4805,0.17464228,1070.2477,4.338468,2.1687765e+06,5.856155,51.29048,-0.009263657,0.94181746,0.033201326,20.917131,-8.30494,-21.233578,-5.206891,0.33264086,8.600251,-7.6938157,4.5992503,-15.874974,-15.92644,-13.762494,-9.033763,-10.359736,-10.244235,0 days 00:00:03.693603604,0 days 00:00:03.733603604
