start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer1,0.0,0.6557904,0.0,0.0,0.0,-100.0,0.23942737,0.98834115,0.0031092202,0.048941802,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0009838709,0.00022879784,157.91016,186.6211,315.8203,789.5508,0.013533942,498.5684,3.668197,1.423776e+06,6.1583447,48.996048,-0.0005426101,0.42764887,0.000964361,16.72285,12.356532,7.0904603,4.3355856,5.861509,10.8103895,-0.6245944,-9.000674,-4.327473,-9.170376,-4.6148877,-1.5249528,1.9967079,-9.045477,0 days 00:00:03.503503504,0 days 00:00:03.543503504
0 days 00:00:00.010000,0 days 00:00:00.050000,answer1,0.0,0.6490264,0.0,0.0,0.0,-100.0,0.24127746,0.98834115,0.0031630427,0.051587302,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0014575006,0.00029379144,172.26562,200.97656,330.17578,918.75,0.029547328,524.2258,3.702737,1.4211209e+06,6.072277,47.652943,-0.00053109456,0.45402774,0.0008611982,16.825285,11.357548,4.523473,4.7713017,7.6306367,6.720594,-1.8388566,-10.787716,-10.9394,-9.798974,-5.2353864,0.9350352,2.8472548,-8.659558,0 days 00:00:03.513503504,0 days 00:00:03.553503504
0 days 00:00:00.020000,0 days 00:00:00.060000,answer1,0.0,0.6351282,0.0,0.0,0.0,-100.0,0.24693227,0.98834115,0.0036576528,0.051965233,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0014094771,0.0003268502,157.91016,172.26562,287.10938,890.03906,0.055169847,479.71704,3.5952826,1.2494826e+06,6.801008,63.517365,-0.0006916178,0.41721162,0.0011912299,17.895367,11.669671,3.1208847,4.7084064,10.366192,4.9081717,3.4982955,-7.6733336,-8.326694,-4.3212166,-1.6567878,5.5717735,2.8886025,-5.2801595,0 days 00:00:03.523503504,0 days 00:00:03.563503504
0 days 00:00:00.030000,0 days 00:00:00.070000,answer1,0.0,0.64306647,0.0,0.0,0.0,-100.0,0.25256673,0.98834115,0.004048895,0.055933487,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0016946876,0.00033367905,157.91016,186.6211,272.7539,775.1953,0.054978415,430.6708,3.4548867,1.01059575e+06,7.333975,71.05746,-0.0007741961,0.38609567,0.0014555884,18.908134,11.973404,4.4713416,6.9890957,6.885842,0.5093549,5.160499,-4.9322915,-11.869426,-3.155696,-5.591331,7.145394,4.2346606,-7.9909635,0 days 00:00:03.533503504,0 days 00:00:03.573503504
0 days 00:00:00.040000,0 days 00:00:00.080000,answer1,0.0,0.6477122,0.0,0.0,0.0,-100.0,0.25617966,0.9956836,0.004012839,0.0574452,0.12895001,0.2774072,0.41440132,0.56950206,0.6895835,0.7869621,0.86416084,0.9192267,0.9561115,1.0229673,1.1014346,1.1617748,1.2656407,1.2760016,1.3586618,1.400721,1.4385613,1.4452473,1.4543505,1.454668,1.3693628,1.2450277,1.0605088,0.8960168,0.729001,0.6015204,0.0011454768,0.0002843856,143.55469,172.26562,301.46484,875.6836,0.051837463,472.00528,3.715346,1.2639594e+06,6.8338876,64.43821,-0.0007127642,0.40808478,0.0014841361,18.046906,11.449966,6.491981,5.5171514,5.26207,0.060938835,6.092006,-1.2869086,-3.6417973,1.3862362,-3.2168503,3.7598116,4.3345585,-3.7737706,0 days 00:00:03.543503504,0 days 00:00:03.583503504
0 days 00:00:00.050000,0 days 00:00:00.090000,answer1,0.0,0.65830857,0.0,0.0,0.0,-100.0,0.2526407,1.0058135,0.0036275287,0.056311414,0.13186812,0.28323504,0.39615273,0.5699902,0.72014743,0.84154505,0.9182355,0.91782683,0.8989411,0.9803379,1.1318098,1.1640857,1.3102349,1.2519116,1.3896194,1.4791185,1.4256988,1.4379529,1.4764682,1.4989363,1.3712482,1.2503189,1.0586675,0.90768987,0.7243295,0.6147802,0.0012380368,0.00025221411,143.55469,172.26562,387.59766,918.75,0.03963527,520.15796,3.9514694,1.4569346e+06,6.0598145,47.763653,-0.0005539326,0.44876638,0.0011356456,17.796,11.681102,4.8643136,5.215482,3.1598537,-1.4412292,3.2763708,0.777383,-3.0479276,4.5285487,-2.7708795,-2.7907982,3.2496293,-2.9412642,0 days 00:00:03.553503504,0 days 00:00:03.593503504
0 days 00:00:00.060000,0 days 00:00:00.100000,answer1,0.0,0.6550029,0.0,0.0,0.0,-100.0,0.253059,1.0178212,0.003254562,0.054232806,0.13015726,0.27944502,0.38010308,0.56847566,0.7227883,0.8683481,0.9486609,0.8984399,0.83187413,0.9443776,1.1912018,1.1667558,1.3442005,1.223918,1.4297379,1.5730876,1.3974563,1.42449,1.567391,1.612697,1.3853892,1.2396464,1.0583336,0.91763335,0.72204036,0.6367028,0.0010998371,0.0002952054,143.55469,186.6211,401.95312,1335.0586,0.038666148,615.54974,4.1714296,1.8298e+06,5.2998943,37.75027,-0.0004789492,0.5123582,0.00094872084,16.289831,10.63517,5.3473296,4.0186563,7.839786,1.1777719,-2.4434168,-0.25887957,-7.1423492,2.976098,1.525416,-4.286068,1.5381652,0.80721694,0 days 00:00:03.563503504,0 days 00:00:03.603503504
0 days 00:00:00.070000,0 days 00:00:00.110000,answer1,0.0,0.6537358,0.0,0.0,0.0,-100.0,0.25077507,1.020039,0.0032691306,0.049319725,0.12515557,0.26785156,0.37755546,0.5531948,0.71218795,0.8647924,0.9413531,0.86282974,0.79391336,0.9675703,1.2813588,1.1409522,1.285178,1.1875867,1.4240351,1.6238317,1.3245378,1.4017229,1.68319,1.7546569,1.3772727,1.2143887,1.0748149,0.9158497,0.71407896,0.65115404,0.0013932217,0.0003093117,143.55469,200.97656,387.59766,1234.5703,0.03608927,586.082,4.0981016,1.6803404e+06,5.6104226,41.56045,-0.0005143325,0.49586546,0.0008351412,17.070896,11.493443,5.352459,3.1718063,7.9069233,1.1175541,-1.7349397,-4.2533774,-12.684606,4.537844,4.386026,-5.14298,-3.5773764,-1.1705251,0 days 00:00:03.573503504,0 days 00:00:03.613503504
0 days 00:00:00.080000,0 days 00:00:00.120000,answer1,0.0,0.656793,0.0,0.0,0.0,-100.0,0.2621288,1.0238729,0.003795841,0.04799697,0.11726141,0.25458136,0.41445556,0.5731432,0.6720943,0.81779104,0.8569382,0.83151704,0.8067417,1.0557696,1.3079139,1.0694064,1.2001944,1.2147989,1.4488864,1.6447989,1.3086637,1.3833662,1.7771945,1.8943415,1.3941592,1.2369946,1.1039509,0.88972807,0.69692916,0.6490729,0.002400389,0.00037800614,172.26562,244.04297,344.53125,1263.2812,0.037665606,593.3276,3.9358675,1.5940176e+06,5.5928245,42.870117,-0.0006132869,0.5030238,0.0013697698,15.702316,10.356721,10.54041,2.354073,9.618839,0.32199836,-0.009187858,-12.674878,-24.825548,-2.3064253,3.5609639,-0.7301695,-3.9521806,-1.6080478,0 days 00:00:03.583503504,0 days 00:00:03.623503504
0 days 00:00:00.090000,0 days 00:00:00.130000,answer1,0.0,0.65894103,0.0,0.0,0.0,-100.0,0.2731308,1.0399963,0.004517457,0.048374906,0.11365395,0.2559094,0.48279,0.6194213,0.6740605,0.7926223,0.7795717,0.80671173,0.83944696,1.1505824,1.2779762,0.9593405,1.1110371,1.2712069,1.4828545,1.7171627,1.3831984,1.3880111,1.8227869,1.9841725,1.4672828,1.3164392,1.14981,0.8714495,0.68810195,0.63430303,0.0036611573,0.0003585779,186.6211,258.39844,315.8203,732.1289,0.042065393,483.04306,3.6347618,1.1229532e+06,6.5336347,55.42689,-0.00090318476,0.43144873,0.0019876806,16.991854,14.080204,11.730046,0.7880512,4.7234073,-2.630295,1.3070872,-16.584152,-26.011591,3.8332074,3.0907457,-1.9491801,-3.4487102,-8.23642,0 days 00:00:03.593503504,0 days 00:00:03.633503504
