start,end,label,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],original_start,original_end
0 days 00:00:00,0 days 00:00:00.040000,answer2,0.0,0.6670092,0.0,0.0,0.0,-100.0,0.18333478,0.98834115,0.0021199621,0.060846563,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00056775974,9.743778e-05,143.55469,287.10938,502.4414,947.46094,0.008883404,603.685,4.3310256,1.9055994e+06,6.6627426,56.69684,-0.00019053342,0.52924895,0.00032325555,20.03286,8.245803,1.2868978,-3.1854045,-4.3444395,4.1993065,0.8694938,-0.8586423,-10.056565,18.17672,2.53907,-3.8388882,6.896993,-2.7322438,0 days 00:00:12.078745412,0 days 00:00:12.118745412
0 days 00:00:00.010000,0 days 00:00:00.050000,answer2,0.0,0.665026,0.0,0.0,0.0,-100.0,0.18583758,0.98834115,0.0021041234,0.05517763,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00066764466,9.404694e-05,157.91016,258.39844,502.4414,933.10547,0.018367127,580.9881,4.251221,1.7488514e+06,6.72723,57.483646,-0.0002089201,0.51328117,0.0003723988,20.672873,7.767508,1.2768612,-1.3557549,-5.5049033,0.59225625,4.3214774,0.7404151,-8.452958,12.554114,-3.6672516,-4.386218,6.707476,-2.0003273,0 days 00:00:12.088745412,0 days 00:00:12.128745412
0 days 00:00:00.020000,0 days 00:00:00.060000,answer2,0.0,0.66621,0.0,0.0,0.0,-100.0,0.18948956,0.98834115,0.0021869594,0.049886618,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0006268542,0.00010121608,157.91016,215.33203,502.4414,933.10547,0.026402399,546.58765,4.1414475,1.4570255e+06,6.823885,60.01833,-0.00023068395,0.48599982,0.00037653686,20.856085,7.449023,1.7392988,0.70771176,-2.825032,1.315228,7.573381,-2.4416616,-7.3050513,6.7119794,-8.404027,-2.5443103,5.4476337,0.9728387,0 days 00:00:12.098745412,0 days 00:00:12.138745412
0 days 00:00:00.030000,0 days 00:00:00.070000,answer2,0.0,0.6681699,0.0,0.0,0.0,-100.0,0.19174732,0.98834115,0.002554248,0.042517006,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0009779847,0.0001078457,157.91016,244.04297,416.3086,803.90625,0.029759238,498.64267,3.854213,1.1963531e+06,6.9028964,60.775635,-0.0002785314,0.4489076,0.00056777854,20.295303,8.366757,6.28546,4.2663236,-3.4372482,-0.14236379,1.1723379,-8.604926,-13.268471,-0.010335644,-9.714616,-0.5634114,5.631684,1.3635597,0 days 00:00:12.108745412,0 days 00:00:12.148745412
0 days 00:00:00.040000,0 days 00:00:00.080000,answer2,0.0,0.6672127,0.0,0.0,0.0,-100.0,0.19200964,0.9899122,0.0027569227,0.04062736,0.13367142,0.27724442,0.43504754,0.5817962,0.66644657,0.748465,0.8277548,0.9163139,0.97423434,1.0456233,1.0854282,1.15756,1.225872,1.2828689,1.3451757,1.3538545,1.4208536,1.4907231,1.4943657,1.4197706,1.3427433,1.2215769,1.06489,0.8954279,0.73772,0.5922868,0.00087589095,0.00010792058,114.84375,200.97656,358.88672,746.4844,0.03047114,426.8076,3.7282078,925407.0,7.604917,75.48984,-0.0003240118,0.38675442,0.00045355936,21.160057,8.824529,6.9370875,5.5002556,-0.7402792,4.655373,2.8750238,-5.323559,-10.794376,-0.3943975,-5.760601,2.7967098,5.365776,2.4844043,0 days 00:00:12.118745412,0 days 00:00:12.158745412
0 days 00:00:00.050000,0 days 00:00:00.090000,answer2,0.0,0.66288114,0.0,0.0,0.0,-100.0,0.19822516,0.9960311,0.0027651628,0.039493576,0.13869728,0.28633165,0.45597413,0.6167678,0.66757995,0.752017,0.8292806,0.92717487,0.96297646,1.0814451,1.0650762,1.144381,1.2526087,1.2888345,1.3381222,1.3292179,1.4337106,1.5474113,1.5571886,1.4403467,1.3310581,1.1876522,1.044998,0.8810451,0.74389046,0.59302115,0.001340887,0.00010234374,129.19922,215.33203,358.88672,660.35156,0.03730011,405.3043,3.5727112,789885.2,8.261799,88.73315,-0.00037749737,0.37653932,0.00071195076,22.161852,8.701572,6.7321973,2.16666,-5.014419,2.9251776,-1.9381456,-1.1388931,-11.90392,-0.86895436,-8.107209,-0.9009676,5.266414,-2.9215958,0 days 00:00:12.128745412,0 days 00:00:12.168745412
0 days 00:00:00.060000,0 days 00:00:00.100000,answer2,0.0,0.6639156,0.0,0.0,0.0,-100.0,0.2031083,1.0092705,0.002717178,0.045729402,0.13973394,0.28984,0.48254153,0.65678865,0.6933467,0.8037738,0.8871009,0.9457822,0.92445534,1.119628,1.0173513,1.1235517,1.2815455,1.2899227,1.3346267,1.3331614,1.4447942,1.6197854,1.6238724,1.5068799,1.3351974,1.1439244,1.0199491,0.8660105,0.7659828,0.5914896,0.0013380355,9.3613635e-05,186.6211,229.6875,430.66406,717.77344,0.03325868,464.2797,3.7903721,886062.3,8.032433,85.59806,-0.00034978645,0.43097413,0.0007324475,22.317053,9.280452,5.6211853,-3.5117786,-10.436139,0.07171615,-0.36276308,-0.39022318,-7.9222198,0.4251299,-7.2645793,-5.7612767,3.98133,-1.7991747,0 days 00:00:12.138745412,0 days 00:00:12.178745412
0 days 00:00:00.070000,0 days 00:00:00.110000,answer2,0.0,0.6605129,0.0,0.0,0.0,-100.0,0.20783122,1.0254709,0.0026639635,0.051965233,0.12963237,0.29235205,0.4996539,0.66849154,0.73333627,0.89618164,1.0110029,1.0007633,0.8970677,1.1132741,0.99794245,1.1070799,1.2790731,1.2453676,1.3071433,1.4061047,1.444547,1.6578733,1.6531674,1.5950872,1.3569595,1.1218106,1.0176518,0.86203575,0.7893674,0.5792741,0.0016277875,9.8087214e-05,229.6875,272.7539,430.66406,732.1289,0.031906053,495.86826,3.7228568,909971.25,8.140052,89.26925,-0.0003526295,0.462636,0.0008552756,21.531652,9.314233,6.0973988,-5.713888,-12.077798,-2.163976,-1.3472795,-5.65632,-10.442235,-1.7520689,-13.751231,-13.141873,4.575048,-2.3955352,0 days 00:00:12.148745412,0 days 00:00:12.188745412
0 days 00:00:00.080000,0 days 00:00:00.120000,answer2,0.0,0.6546403,0.0,0.0,0.0,-100.0,0.20184082,1.0409578,0.002517839,0.057256237,0.11538408,0.2893604,0.50725716,0.6683574,0.7457022,0.95721936,1.0962874,1.0101439,0.8684461,1.081817,0.97930145,1.0983292,1.2564901,1.1948643,1.2898389,1.552818,1.4651308,1.6710678,1.682036,1.6784486,1.390478,1.1436142,1.048786,0.89750236,0.8105188,0.5657024,0.0011334503,0.00010743862,215.33203,258.39844,445.01953,846.97266,0.027772011,550.475,3.9511395,1.2242036e+06,7.1320763,70.581375,-0.00027833728,0.49291062,0.0005978228,19.803453,9.011117,7.3825507,-3.4729831,-9.700339,-0.2934011,2.3974216,-6.5044637,-7.8269978,0.27673292,-9.259236,-12.080428,5.2348003,-2.3584275,0 days 00:00:12.158745412,0 days 00:00:12.198745412
0 days 00:00:00.090000,0 days 00:00:00.130000,answer2,0.0,0.6544891,0.0,0.0,0.0,-100.0,0.20403004,1.0508921,0.0023116516,0.060279667,0.10325732,0.29209742,0.4842321,0.6392968,0.7318607,0.95399934,1.1096863,1.0152586,0.8708997,1.0568658,0.99230653,1.1047468,1.2502838,1.1552448,1.293779,1.6871821,1.4814392,1.6385636,1.6989741,1.7330192,1.4279495,1.2090813,1.0840887,0.9512618,0.8091653,0.5486527,0.00095664203,0.00011385928,215.33203,315.8203,488.08594,933.10547,0.028412929,589.96704,4.090628,1.2537539e+06,7.167313,72.87556,-0.00025934985,0.52543336,0.00051481585,19.757484,6.626118,4.984093,-5.6218414,-7.4531517,-2.3239076,2.967699,-4.6318126,-10.359841,0.47237682,-11.695984,-13.656936,6.6728477,-4.3921685,0 days 00:00:12.168745412,0 days 00:00:12.208745412
