file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./voice_sample/asano.wav,0 days 00:00:00,0 days 00:00:00.025000,3.8631155,2.3179314,12.781063,0.058535736,0.0031275302,0.682688,15.370866,-19.363642,2.110345,-1.8637358,35.16328,0.0,0.0,2.2738724,4.0394187,9.56532,781.42926,1150.6841,-7.365504,1723.5919,844.1591,-1.7716813,2864.0144,639.5349,-18.128002
./voice_sample/asano.wav,0 days 00:00:00.005000,0 days 00:00:00.030000,4.434507,3.2549372,12.96437,0.059523437,0.006610295,1.0294944,12.845634,-20.183374,4.049316,-2.3384397,35.145687,0.0,0.0,1.9030576,5.1798925,9.130698,722.7128,1161.7623,-9.783015,1713.6742,910.1888,-0.4684639,2869.219,671.8306,-17.340448
./voice_sample/asano.wav,0 days 00:00:00.010000,0 days 00:00:00.035000,4.708172,3.4923708,13.885288,0.06015708,0.008607839,1.5834471,11.418902,-20.02938,5.412206,-3.1132154,35.133984,0.0,5.0325747,2.0732698,6.4370637,10.488301,721.99615,1155.1935,-11.216824,1719.5651,908.38605,-0.009896755,2859.5867,672.06665,-18.470566
./voice_sample/asano.wav,0 days 00:00:00.015000,0 days 00:00:00.040000,4.2614846,2.3980527,17.432657,0.056795444,0.007546121,1.4134512,13.823268,-17.838343,2.7509403,-3.8354805,35.175827,0.024301073,4.15406,2.3401978,6.6957116,13.30968,731.27,1106.1735,-13.00568,1735.0371,871.4401,-1.9274935,2861.994,673.1495,-21.454
./voice_sample/asano.wav,0 days 00:00:00.020000,0 days 00:00:00.045000,3.6512225,1.0928186,20.610872,0.056125503,0.004907098,1.429459,16.951006,-15.164368,-1.8122854,-4.470373,35.291794,0.018374812,4.014675,3.426094,6.204785,15.368827,828.2029,1088.1812,-8.186108,1796.5709,810.82227,-5.2377124,2867.1785,623.87085,-23.661459
./voice_sample/asano.wav,0 days 00:00:00.025000,0 days 00:00:00.050000,3.293258,0.19146772,22.67425,0.055023417,0.003346798,1.1547698,18.829704,-12.773754,-6.85224,-4.6506605,35.42545,0.0064505874,3.090908,3.957052,5.6280084,15.273815,854.4222,1049.6775,-7.6065097,1810.6044,812.6386,-8.667452,2828.0771,630.94525,-23.531036
./voice_sample/asano.wav,0 days 00:00:00.030000,0 days 00:00:00.055000,3.1137822,-0.7762587,22.79682,0.058131617,0.0027579647,0.9205442,18.695812,-10.421069,-9.800636,-5.336901,35.55463,0.009053053,2.3283103,4.2460885,5.5591187,14.838702,873.7483,1054.2954,-6.760994,1831.4127,866.98,-11.894176,2851.5862,668.5798,-22.870264
./voice_sample/asano.wav,0 days 00:00:00.035000,0 days 00:00:00.060000,2.863351,-2.650793,22.779634,0.06947946,0.00082045485,0.8218488,18.608618,-7.053946,-11.729917,-5.803786,35.64793,0.011207022,0.86412907,4.4946904,6.0728188,16.67209,868.37305,1014.5374,-10.413877,1801.6481,884.6919,-14.344521,2785.072,728.759,-24.357004
./voice_sample/asano.wav,0 days 00:00:00.040000,0 days 00:00:00.065000,2.5527565,-5.0798225,22.41915,0.07502117,-0.0013300488,0.73541695,19.042158,-3.05218,-12.317344,-4.4396367,35.753872,0.01081382,0.84916544,4.6243024,6.8644586,19.826502,879.2392,998.33954,-11.427791,1821.8717,871.9231,-16.632805,2824.0107,812.5594,-27.383919
./voice_sample/asano.wav,0 days 00:00:00.045000,0 days 00:00:00.070000,2.2147045,-7.777479,22.757303,0.07454888,-0.0053045005,0.6729219,19.10318,1.8012377,-11.476924,-0.28496885,35.8129,0.010887279,1.2461604,4.464767,8.117572,21.926125,890.1762,1028.7745,-13.075261,1829.4819,874.19025,-18.088896,2771.2617,811.269,-29.973917
