start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.200000,answer1,2.7406778,-13.23026,27.601273,0.017978916,-0.011013904,0.082694486,21.01794,-1.9374307,4.499373,2.5486012,24.453062,0.0,0.0,0.10195017,13.447604,25.341696,867.81146,1045.7446,-3.1505406,1866.4801,951.02954,-10.031598,2714.4915,790.511,-12.379603,0 days 00:00:06.100100100,0 days 00:00:06.300100100
0 days 00:00:00.010000,0 days 00:00:00.210000,answer1,2.734146,-13.710034,28.035238,0.017461011,-0.01072827,0.16122901,21.21481,-2.299565,6.021744,3.7388973,24.152102,0.027575746,0.89074594,-1.8511776,9.958578,22.681412,876.13214,1006.51886,-1.1930679,1871.2155,896.77484,-9.141395,2733.1748,769.3274,-12.237759,0 days 00:00:06.110100100,0 days 00:00:06.310100100
0 days 00:00:00.020000,0 days 00:00:00.220000,answer1,2.7227268,-14.341737,28.488022,0.017089562,-0.010223425,0.23573394,21.509893,-2.825477,8.338626,5.480765,23.848318,0.019980563,0.6061196,-3.8988583,7.0710073,18.44294,883.924,962.5695,1.5299749,1865.0387,829.2596,-7.6873813,2743.1575,718.05145,-10.647355,0 days 00:00:06.120100100,0 days 00:00:06.320100100
0 days 00:00:00.030000,0 days 00:00:00.230000,answer1,2.7132807,-14.70414,28.781021,0.017666088,-0.00981233,0.22754438,21.710016,-3.1658065,9.927768,6.6370354,23.780884,0.003855206,0.5144636,-4.665846,6.679964,16.456598,885.988,939.13495,3.307978,1858.3195,785.4487,-6.5076027,2746.175,674.3743,-9.819892,0 days 00:00:06.130100100,0 days 00:00:06.330100100
0 days 00:00:00.030000,0 days 00:00:00.233560091,answer1,2.7083933,-14.856068,28.79984,0.017812544,-0.00959312,0.22351478,21.808233,-3.3295848,10.72228,7.1886067,23.778067,0.0047901957,0.036866933,-4.7603993,7.2814198,14.878411,885.459,934.4114,4.0735483,1847.4072,772.1883,-5.943793,2737.4746,644.28186,-8.371334,0 days 00:00:06.130100100,0 days 00:00:06.333660191
0 days 00:00:00,0 days 00:00:00.200000,answer3,2.7177837,-3.484126,7.4475083,0.013799501,-0.014531472,0.039209563,-1.7539557,23.349764,3.3742998,-1.8464779,0.0,0.0,0.0,0.0,0.0,0.0,885.5617,1083.1361,-132.50081,1986.4716,776.84375,-134.68861,2846.1082,659.4451,-134.68861,0 days 00:00:12.266933600,0 days 00:00:12.466933600
0 days 00:00:00.010000,0 days 00:00:00.210000,answer3,2.7679355,-2.0624688,6.2479095,0.012323276,-0.01352033,0.07819656,-3.2324219,22.769865,3.2508469,-1.7335008,15.784911,0.0,0.0,-8.857027,-103.47048,-92.62247,910.32904,1175.2842,-63.27096,2009.0156,819.7304,-67.578835,2879.3113,652.725,-67.72064,0 days 00:00:12.276933600,0 days 00:00:12.476933600
0 days 00:00:00.020000,0 days 00:00:00.220000,answer3,2.8476093,-0.26810205,4.862738,0.011430646,-0.012066565,0.11764666,-5.0804105,21.951042,3.1866007,-1.4390944,15.825238,0.0,0.0,-7.7177997,-70.437004,-56.540344,916.71954,1242.8657,6.748501,2006.6603,867.3747,-0.5478305,2897.1223,674.33154,-0.6896367,0 days 00:00:12.286933600,0 days 00:00:12.486933600
0 days 00:00:00.030000,0 days 00:00:00.230000,answer3,2.934187,0.73015714,4.6032376,0.009546457,-0.011231746,0.12052876,-6.1152987,21.361868,3.4541008,-0.8055577,15.898609,0.0,0.0,-5.65217,-69.68076,-55.376038,956.52905,1405.4396,8.2879505,2029.2401,937.8293,-0.78979135,2942.3064,651.6633,-1.8429378,0 days 00:00:12.296933600,0 days 00:00:12.496933600
0 days 00:00:00.040000,0 days 00:00:00.240000,answer3,3.0302455,0.5267389,5.587189,0.008575442,-0.011128261,0.14257349,-6.064218,21.240587,4.0953,0.23285365,15.89312,0.0,0.0,-4.4250493,-4.0211377,16.887892,935.62134,1362.1184,-60.941895,1976.153,901.09796,-67.89956,2915.041,658.21906,-68.8109,0 days 00:00:12.306933600,0 days 00:00:12.506933600
