start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.100000,answer1 ,4.000091,-9.16686,26.837395,0.03384265,0.00035309597,0.31326452,26.989481,-17.673796,2.1849604,-9.980504,38.314575,0.0,0.45629597,11.238373,-2.2311156,8.44561,410.93893,1468.6871,0.0,1266.6776,1427.7822,-17.091791,1993.1777,1078.8807,-17.268341,0 days 00:00:08.208208208,0 days 00:00:08.308208208
0 days 00:00:00.010000,0 days 00:00:00.110000,answer1 ,4.026917,-9.261295,26.525938,0.041567575,-0.00039005102,0.6071079,27.507925,-16.634512,2.765845,-8.898633,38.167324,0.0073109316,0.47254106,10.780295,-3.1756706,10.697148,472.61267,1535.8184,0.0,1378.291,1304.7672,-16.465965,2208.504,960.8836,-19.709642,0 days 00:00:08.218208208,0 days 00:00:08.318208208
0 days 00:00:00.020000,0 days 00:00:00.120000,answer1 ,4.0874867,-9.513961,26.186514,0.05060558,-0.0025100203,0.8941102,28.486753,-14.92928,3.8915603,-7.844252,37.934883,0.006831435,0.65002626,10.260423,-3.6808388,14.227672,490.20975,1539.5682,-8.57748,1462.6309,1175.7827,-15.718342,2398.7695,859.55206,-23.101774,0 days 00:00:08.228208208,0 days 00:00:08.328208208
0 days 00:00:00.030000,0 days 00:00:00.130000,answer1 ,4.1591153,-9.924884,25.52556,0.05903687,-0.0057105967,0.85925895,29.697367,-13.182403,5.305207,-7.699379,37.694973,0.005414042,0.48053098,9.881478,-2.9991639,17.511372,610.5047,1536.5958,-7.740088,1585.8297,1026.2797,-14.48932,2609.2234,695.8233,-25.860329,0 days 00:00:08.238208208,0 days 00:00:08.338208208
0 days 00:00:00.040000,0 days 00:00:00.140000,answer1 ,4.164329,-10.333555,25.16242,0.06305833,-0.0091753965,0.83240914,30.807083,-11.85258,6.5272465,-7.9117584,37.467182,0.004332182,0.48192635,9.060513,-1.48597,17.45249,685.85516,1470.6564,-7.0655265,1633.2426,1009.92267,-14.160259,2632.9744,652.56396,-25.028532,0 days 00:00:08.248208208,0 days 00:00:08.348208208
0 days 00:00:00.050000,0 days 00:00:00.150000,answer1 ,4.040426,-10.666592,24.994986,0.066857874,-0.012110621,0.8075927,31.646215,-10.907498,7.1195207,-7.942406,37.23534,0.008149965,0.49117765,7.7112823,0.3958424,18.397764,791.4659,1452.6927,-6.6859,1691.0988,969.1387,-14.300481,2673.5312,602.44116,-24.68782,0 days 00:00:08.258208208,0 days 00:00:08.358208208
0 days 00:00:00.060000,0 days 00:00:00.160000,answer1 ,3.761779,-10.982234,26.037172,0.06620113,-0.015071991,0.79523206,32.2325,-9.899713,6.8651376,-7.5129714,36.964325,0.007381063,0.9413903,6.267511,2.779975,21.2866,795.2454,1484.6831,-6.671992,1707.8141,967.0136,-15.432803,2712.0627,594.67816,-25.178617,0 days 00:00:08.268208208,0 days 00:00:08.368208208
0 days 00:00:00.070000,0 days 00:00:00.170000,answer1 ,3.3487918,-11.483315,28.025787,0.06643119,-0.016975755,0.7893184,32.58511,-8.295317,5.7366633,-6.6665454,36.626785,0.0104505755,1.1107613,5.550113,4.878735,25.63888,744.9183,1495.1182,-6.2435107,1672.912,909.19336,-14.691415,2708.7388,627.5621,-27.003656,0 days 00:00:08.278208208,0 days 00:00:08.378208208
0 days 00:00:00.080000,0 days 00:00:00.180000,answer1 ,2.8698158,-12.476902,29.704168,0.06405903,-0.01794071,0.7425756,32.873627,-5.8159084,4.301924,-5.586506,36.285492,0.008150068,1.4448204,5.1330876,6.4835057,27.062956,640.9864,1489.6813,-4.52259,1642.839,880.31885,-13.2182665,2752.2354,717.07306,-27.613167,0 days 00:00:08.288208208,0 days 00:00:08.388208208
0 days 00:00:00.090000,0 days 00:00:00.190000,answer1 ,2.4333065,-14.031726,29.37673,0.06103398,-0.018671086,0.63975126,33.06831,-2.9149158,3.8399546,-4.6919045,35.851166,0.0106822,1.5702457,4.5885973,5.3509808,30.60292,642.8039,1456.4176,-3.5256507,1666.542,867.981,-14.600372,2779.4846,705.51025,-31.28872,0 days 00:00:08.298208208,0 days 00:00:08.398208208
0 days 00:00:00.100000,0 days 00:00:00.200000,answer1 ,2.157845,-15.158578,26.5338,0.05479386,-0.020472467,0.50504595,32.933872,-1.053774,5.1493487,-5.2591815,35.569187,0.012258656,1.7969495,4.5828996,3.9357014,32.5827,676.40796,1377.5293,-2.6459491,1705.1295,875.69073,-18.713087,2788.388,672.5556,-33.804073,0 days 00:00:08.308208208,0 days 00:00:08.408208208
0 days 00:00:00.110000,0 days 00:00:00.210000,answer1 ,2.1023338,-15.011411,22.91783,0.053846885,-0.022178905,0.4115633,32.238514,-1.2935003,7.4572678,-7.5303035,35.35765,0.015708186,1.9478579,5.3261433,2.2912123,35.803013,777.8499,1319.0065,-2.9378273,1782.3042,857.4041,-23.754974,2772.707,660.7082,-36.44963,0 days 00:00:08.318208208,0 days 00:00:08.418208208
