start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.100000,answer1,2.4390774,-2.3051198,-2.6472237,0.023395346,-0.027631864,0.090765946,24.15737,10.692833,32.42577,-27.494638,17.830515,0.0,0.4233251,1.2011429,-0.49844804,36.662685,694.215,1676.2494,4.283346,1755.8236,1208.6013,-8.81049,2830.8606,986.8088,-22.526367,0 days 00:00:02.302302302,0 days 00:00:02.402302302
0 days 00:00:00.010000,0 days 00:00:00.110000,answer1,2.52649,-2.5875187,-2.3519454,0.028022824,-0.029979656,0.18270297,23.161829,9.351437,34.124027,-28.477173,18.049702,0.0,0.40032068,1.9624306,0.9144144,36.31579,656.133,1491.3727,4.808416,1807.7188,959.5864,-11.415878,2812.4688,1003.6597,-21.256739,0 days 00:00:02.312302302,0 days 00:00:02.412302302
0 days 00:00:00.020000,0 days 00:00:00.120000,answer1,2.6413267,-2.9074366,-2.3116858,0.030993605,-0.032164138,0.2836604,21.849215,7.298258,35.66455,-29.575508,18.378706,0.04784602,0.40060043,2.5168002,2.391409,32.38454,621.8203,1306.2648,6.113116,1847.3652,768.58105,-11.464771,2708.5166,967.8418,-16.360626,0 days 00:00:02.322302302,0 days 00:00:02.422302302
0 days 00:00:00.030000,0 days 00:00:00.130000,answer1,2.7324517,-3.0489852,-3.091591,0.0313959,-0.030926364,0.30009,20.95302,4.7675796,34.88541,-29.62159,18.554958,0.04784602,0.4008802,1.9368697,2.8823462,25.860321,611.99976,1403.916,6.081466,1870.4092,821.5766,-10.499274,2707.7341,884.54,-10.25447,0 days 00:00:02.332302302,0 days 00:00:02.432302302
0 days 00:00:00.040000,0 days 00:00:00.140000,answer1,2.836874,-3.0271645,-3.9033458,0.026846817,-0.025865277,0.32736686,20.559832,1.0143282,31.493807,-28.354996,18.590757,0.0,0.44049335,0.831795,2.8612492,18.97486,633.8287,1395.444,6.773697,1870.5757,854.9245,-7.916424,2636.0198,807.99976,-4.5881567,0 days 00:00:02.342302302,0 days 00:00:02.442302302
0 days 00:00:00.050000,0 days 00:00:00.150000,answer1,3.120713,-2.6252873,-4.0878205,0.02420578,-0.017286161,0.4242393,20.387527,-4.5065284,25.58996,-26.354345,17.981688,0.010042617,0.76984245,-0.4337757,1.9337317,15.373334,597.5261,1384.4684,6.4897537,1782.3247,1151.8624,-8.657084,2470.75,935.0461,-2.227953,0 days 00:00:02.352302302,0 days 00:00:02.452302302
0 days 00:00:00.060000,0 days 00:00:00.160000,answer1,3.7593415,-1.7858607,-2.868739,0.02214858,-0.008273097,0.6583711,20.138353,-10.777368,19.112595,-24.002434,17.40299,0.0068050013,1.0475011,-1.0360519,-0.5048049,12.367462,489.3146,1281.2174,8.664372,1602.4196,1193.6921,-7.386183,2342.6326,1060.7499,0.28014675,0 days 00:00:02.362302302,0 days 00:00:02.462302302
0 days 00:00:00.070000,0 days 00:00:00.170000,answer1,4.839863,-0.9081071,-0.38351616,0.025306566,-0.000673675,1.0337199,19.76343,-16.32298,13.830245,-21.809175,18.863361,0.00022146052,1.3088306,-1.3602303,0.0866855,12.970004,415.99768,1226.5011,6.367571,1433.6249,1211.9406,-6.095146,2294.8625,991.2753,-0.9340329,0 days 00:00:02.372302302,0 days 00:00:02.472302302
0 days 00:00:00.080000,0 days 00:00:00.180000,answer1,6.221399,-0.54555905,3.4028158,0.028126413,0.004154907,1.4280133,19.586382,-20.031176,10.298576,-19.965406,20.97053,0.00032976957,1.25714,-2.3728423,1.4560121,12.828308,419.29385,1234.972,2.978268,1371.3125,1036.2257,-5.260594,2380.0393,1041.4604,-3.3452723,0 days 00:00:02.382302302,0 days 00:00:02.482302302
0 days 00:00:00.090000,0 days 00:00:00.190000,answer1,7.6265664,-0.87086344,7.705629,0.03159942,0.006825467,1.6837231,19.779127,-22.204582,7.581777,-18.931578,25.12789,0.00032976957,1.25714,-2.9730253,2.596209,12.902745,434.5145,1212.3053,-1.3184079,1361.4962,1036.3031,-4.1516843,2381.331,1090.1003,-9.666455,0 days 00:00:02.392302302,0 days 00:00:02.492302302
0 days 00:00:00.100000,0 days 00:00:00.200000,answer1,8.756728,-1.5564389,11.32314,0.037164662,0.008382782,1.7357403,20.23281,-23.40772,5.284183,-18.680471,27.253853,0.30816436,1.3308767,-2.3580093,1.1790451,9.014267,444.43033,1204.3422,-3.4541862,1370.5162,1090.177,-2.7544308,2400.5754,1099.2008,-10.594084,0 days 00:00:02.402302302,0 days 00:00:02.502302302
0 days 00:00:00.110000,0 days 00:00:00.210000,answer1,9.432424,-2.3365114,13.753301,0.043763746,0.007922571,1.6652546,20.883863,-24.081484,3.3688471,-18.603941,29.211327,0.615999,1.4046134,-0.48078382,0.17549117,6.1932945,447.72604,1193.2006,-3.8050823,1394.121,1063.9144,0.35016617,2435.5012,938.1321,-9.822886,0 days 00:00:02.412302302,0 days 00:00:02.512302302
0 days 00:00:00.120000,0 days 00:00:00.220000,answer1,9.669793,-3.1045167,14.633644,0.04590729,0.0051908246,1.6820928,21.758493,-24.414873,1.835636,-18.311758,28.981928,0.6506635,2.9924333,-0.2004915,1.3390859,7.0493507,443.1543,1203.8607,-2.5385926,1401.5101,1081.8372,0.74281377,2426.708,960.7134,-8.248857,0 days 00:00:02.422302302,0 days 00:00:02.522302302
0 days 00:00:00.130000,0 days 00:00:00.230000,answer1,9.635856,-3.7833824,14.745275,0.04428691,0.0001990407,1.8170643,22.774385,-24.456848,0.9645796,-17.877695,28.702337,0.3774934,4.506517,0.7024581,2.3477483,9.024711,453.61157,1254.7784,-1.5710727,1417.161,1159.0499,1.6111931,2367.5833,1202.2343,-8.248035,0 days 00:00:02.432302302,0 days 00:00:02.532302302
0 days 00:00:00.140000,0 days 00:00:00.240000,answer1,9.512649,-4.3428683,13.780799,0.039146643,-0.0051375963,1.9823656,23.686625,-24.186533,1.0562149,-17.529284,28.46454,0.0934863,5.068589,1.9115906,3.330476,10.865016,442.5231,1221.4106,-1.0221132,1415.2933,1149.8286,2.1078134,2368.1487,1430.1954,-8.556652,0 days 00:00:02.442302302,0 days 00:00:02.542302302
0 days 00:00:00.150000,0 days 00:00:00.250000,answer1,9.35763,-4.815082,12.499894,0.04019496,-0.0094623575,2.0019295,24.315004,-23.56442,2.0414796,-17.28642,28.314238,0.058752507,3.4991581,3.6465833,4.038547,9.850159,437.08066,1182.3207,-0.671951,1434.3091,1071.2838,2.7737968,2402.393,1263.42,-6.4835625,0 days 00:00:02.452302302,0 days 00:00:02.552302302
0 days 00:00:00.160000,0 days 00:00:00.260000,answer1,9.1121,-5.2164626,11.921734,0.042785645,-0.012677436,1.9188619,24.57396,-22.52292,3.4249027,-16.806147,28.199778,0.037440803,1.5401893,3.6828988,4.455123,8.668301,432.73254,1160.4037,-0.5758508,1447.3878,1029.4683,2.5335042,2490.485,1457.0859,-4.7890286,0 days 00:00:02.462302302,0 days 00:00:02.562302302
0 days 00:00:00.170000,0 days 00:00:00.270000,answer1,8.719007,-5.4695435,12.603477,0.051730726,-0.015382645,1.8395748,24.436846,-21.091236,4.706081,-15.878392,28.040403,0.015413716,1.0953385,3.0728827,4.488157,7.796499,433.98685,1175.3231,-0.47461906,1451.8414,1049.823,1.8106452,2456.7595,1393.4816,-3.7829611,0 days 00:00:02.472302302,0 days 00:00:02.572302302
