start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end
0 days 00:00:00,0 days 00:00:00.020000,answer1,0.6453162,-25.787241,43.574184,0.08373728,-0.015934408,0.14807624,37.532986,9.244199,-7.8941154,-15.009118,41.507225,0.0,1.211866,14.135304,8.965578,30.276163,711.48267,1301.4471,-25.539396,1723.8857,1300.0096,-44.52608,2826.793,1014.04395,-47.2018,0 days 00:00:03.266933600,0 days 00:00:03.286933600
0 days 00:00:00.010000,0 days 00:00:00.030000,answer1,0.61087435,-25.63836,43.99116,0.06833155,-0.017974634,0.24276417,37.56204,9.748163,-7.5912185,-15.871526,41.582645,0.019873591,0.87075526,13.946942,9.709319,29.409262,710.97235,1345.8055,0.0,1670.7911,1351.5753,-41.316494,2831.4348,928.5223,-46.94009,0 days 00:00:03.276933600,0 days 00:00:03.296933600
0 days 00:00:00.020000,0 days 00:00:00.040000,answer1,0.54185516,-25.725365,42.913692,0.06015219,-0.021327602,0.3839101,36.101612,10.337974,-4.6482663,-14.491061,41.667664,0.017845875,0.6711917,13.437604,10.77027,27.90094,703.80206,1403.2764,-31.068966,1662.361,1303.4795,-40.86391,2857.9531,935.9463,-46.708267,0 days 00:00:03.286933600,0 days 00:00:03.306933600
0 days 00:00:00.030000,0 days 00:00:00.050000,answer1,0.47639284,-25.113821,42.02763,0.05557305,-0.018837934,0.29443637,33.809578,9.133843,-4.3232217,-9.18179,41.771748,0.015988888,0.8549688,12.848054,10.915441,27.224524,948.8475,1204.0829,-31.539093,1899.5732,1314.7096,-40.71478,3013.1943,993.8387,-47.84817,0 days 00:00:03.296933600,0 days 00:00:03.316933600
0 days 00:00:00.040000,0 days 00:00:00.060000,answer1,0.44454885,-24.837585,40.52018,0.07171782,-0.016089983,0.2985234,32.163925,10.777985,-3.178522,-6.2502675,41.922142,0.017463604,1.0057372,12.249089,9.230744,24.103394,950.0087,1221.7319,-32.10735,1903.1119,1232.2974,-42.75815,3042.7695,1031.1959,-46.98,0 days 00:00:03.306933600,0 days 00:00:03.326933600
0 days 00:00:00.050000,0 days 00:00:00.070000,answer1,0.43678737,-24.05191,39.284824,0.08024525,-0.010707337,0.25007817,30.878311,10.253166,-1.760023,-3.9385526,42.126564,0.018174892,0.8915381,11.244565,4.150736,18.825533,1023.6862,1169.5914,-30.984894,1975.9603,1069.5168,-40.722286,3126.3137,849.4482,-45.659687,0 days 00:00:03.316933600,0 days 00:00:03.336933600
0 days 00:00:00.060000,0 days 00:00:00.080000,answer1,0.41478527,-23.066317,38.042927,0.09411434,-0.008184136,0.30401683,29.829088,11.504355,0.38207516,-3.9056675,42.351086,0.017371275,1.012334,8.46653,8.288267,11.696795,1031.3616,1101.6626,-34.442947,2090.3408,968.9456,-36.2736,3249.7332,795.3894,-37.851475,0 days 00:00:03.326933600,0 days 00:00:03.346933600
0 days 00:00:00.070000,0 days 00:00:00.090000,answer1,0.37622705,-21.310793,34.446598,0.089062266,-0.00222414,0.24498357,27.060661,9.621706,3.7913125,4.102207,42.452545,0.01562605,1.0453196,6.7803903,9.467172,7.715434,1084.251,1016.66626,-91.01263,2158.6394,797.88654,-88.87921,3298.886,609.7103,-89.844795,0 days 00:00:03.336933600,0 days 00:00:03.356933600
0 days 00:00:00.080000,0 days 00:00:00.100000,answer1,0.326754,-17.006205,27.947563,0.08095667,-0.00055887824,0.2800137,24.459524,8.789401,4.90873,7.6394124,0.0,0.0,0.0,0.0,0.0,0.0,1038.705,1007.6291,-148.2845,2093.0085,801.87085,-142.80705,3258.0303,607.2752,-142.26038,0 days 00:00:03.346933600,0 days 00:00:03.366933600
0 days 00:00:00.090000,0 days 00:00:00.110000,answer1,0.35357714,-11.79407,18.91506,0.087218784,-0.0034488502,0.20590322,17.27432,6.427749,9.304057,6.1802692,0.0,0.0,0.0,0.0,0.0,0.0,1165.9608,918.2631,-201.0,2158.9954,857.5949,-201.0,3232.3171,604.00433,-201.0,0 days 00:00:03.356933600,0 days 00:00:03.376933600
